ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	COGIDS	NOTE	ISO639P3	MACROAREA	FAMILY	SCRIPT
18	Standard Arabic	EIGHTEEN	ثَمانَ عَشْرَةَ					arb	Eurasia	Afro-Asiatic	Arabic
19	Standard Arabic	NINETEEN	تِسْعَ عَشْرَةَ					arb	Eurasia	Afro-Asiatic	Arabic
20	Standard Arabic	TWENTY	عِشْرونَ					arb	Eurasia	Afro-Asiatic	Arabic
21	Standard Arabic	TWENTY ONE	واحِدً وَ عِشْرينَ					arb	Eurasia	Afro-Asiatic	Arabic
22	Standard Arabic	TWENTY TWO	اِثْنانِ وَ عِشْرونَ					arb	Eurasia	Afro-Asiatic	Arabic
23	Standard Arabic	TWENTY THREE	ثَلاثً وَ عِشْرينَ					arb	Eurasia	Afro-Asiatic	Arabic
24	Standard Arabic	TWENTY FOUR	أَرْبَعً وَ عِشْرينَ					arb	Eurasia	Afro-Asiatic	Arabic
25	Standard Arabic	TWENTY FIVE	خَمْسً وَ عِشْرينَ					arb	Eurasia	Afro-Asiatic	Arabic
26	Standard Arabic	TWENTY SIX	سِتًّ وَ عِشْرينَ					arb	Eurasia	Afro-Asiatic	Arabic
27	Standard Arabic	TWENTY SEVEN	سَبْعً وَ عِشْرينَ					arb	Eurasia	Afro-Asiatic	Arabic
28	Standard Arabic	TWENTY EIGHT	ثَمانً وَ عِشْرينَ					arb	Eurasia	Afro-Asiatic	Arabic
29	Standard Arabic	TWENTY NINE	تِسْعً وَ عِشْرينَ					arb	Eurasia	Afro-Asiatic	Arabic
30	Standard Arabic	THIRTY	ثَلاثونَ					arb	Eurasia	Afro-Asiatic	Arabic
31	Standard Arabic	THIRTY ONE	واحِدً وَ ثَلاثينَ					arb	Eurasia	Afro-Asiatic	Arabic
32	Standard Arabic	THIRTY TWO	اِثْنانِ وَ ثَلاثونَ					arb	Eurasia	Afro-Asiatic	Arabic
33	Standard Arabic	THIRTY THREE	ثَلاثً وَ ثَلاثينَ					arb	Eurasia	Afro-Asiatic	Arabic
