ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS	MORPHEMES
#@display=filedisplay|glosses
#@missing_marker=Ø
#@separator=
#@gap_marker=-
#@formatter=false
#@root_formatter=COGIDS
#@note_formatter=undefined
#@pattern_formatter=undefined
#@publish=undefined
#@_almcol=ALIGNMENT
#@filename=russian.tsv
#@navbar=true
#@_morphology_mode=partial
