ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	COGIDS	NOTE
20	Makyam (Khalai)	twenty	kʰy³³	kʰ y ³³			
21	Makyam (Khalai)	twenty one	kʰy³³ kə⁴⁴ kʰuat⁵²	kʰ y ³³+ k ə ⁴⁴+ kʰ ua t ⁵²			
22	Makyam (Khalai)	twenty two	khy³³ kə⁴⁴ nat⁵²	k h y ³³+ k ə ⁴⁴+ n a t ⁵²			
23	Makyam (Khalai)	twenty three	kʰy³³ kə⁴⁴ θam³³	kʰ y ³³+ k ə ⁴⁴+ θ a m ³³			
24	Makyam (Khalai)	twenty four	kʰy³³ kə⁴⁴ pʰali³³	kʰ y ³³ + k ə ⁴⁴ + pʰ a + l i ³³			
25	Makyam (Khalai)	twenty five	kʰy³³ kə⁴⁴ pʰəŋa³³	kʰ y ³³ + k ə ⁴⁴ + pʰ ə + ŋ a ³³			
26	Makyam (Khalai)	twenty six	kʰy³³ kə⁴⁴ kʰə³¹ ʒok³¹	kʰ y ³³+ k ə ⁴⁴+ kʰ ə ³¹+ ʒ o k ³¹			
27	Makyam (Khalai)	twenty seven	kʰy³³ kə⁴⁴ kʰə³¹ ɲɛk³¹	kʰ y ³³+ k ə ⁴⁴+ kʰ ə ³¹+ ɲ ɛ k ³¹			
28	Makyam (Khalai)	twenty eight	kʰy³³ kə⁴⁴ tʰə³¹ wat³¹	kʰ y ³³+ k ə ⁴⁴+ tʰ ə ³¹+ w a t ³¹			
29	Makyam (Khalai)	twenty nine	ly³³ θam³³ man⁴⁴ kʰuan⁴⁴	l y ³³+ θ a m ³³+ m a n ⁴⁴+ kʰ ua n ⁴⁴			thirty minus
30	Makyam (Khalai)	thirty	ly³³ θam³³	l y ³³+ θ a m ³³			
31	Makyam (Khalai)	thirty one	(ly³³ θam³³ kə⁴⁴ kʰuat⁵²)	(l y ³³ + θ a m ³³ + k ə ⁴⁴ + kʰ ua t ⁵²) 			
32	Makyam (Khalai)	thirty two	(ly³³ θam³³ nat⁵²)	(l y ³³ + θ a m ³³ + n a t ⁵²) 			
33	Makyam (Khalai)	thirty three	(ly³³ θam³³ θam³³)	(l y ³³ + θ a m ³³ + θ a m ³³) 			
34	Makyam (Khalai)	thirty four	(ly³³ θam³³ pʰali³³)	(l y ³³ + θ a m ³³ + pʰ ə + l i ³³) 			
35	Makyam (Khalai)	thirty five	(ly³³ θam³³ pʰəŋa³³)	(l y ³³ + θ a m ³³ + pʰ ə + ŋ a ³³)			
36	Makyam (Khalai)	thirty six	(ly³³ θam³³ kʰə³¹ ʒok³¹)	(l y ³³ + θ a m ³³ + kʰ ə ³¹ + ʒ o k ³¹) 			
37	Makyam (Khalai)	thirty seven	(ly³³ θam³³ kʰə³¹ ɲɛk³¹)	(l y ³³ + θ a m ³³ + kʰ ə ³¹ + ɲ ɛ k ³¹) 			
38	Makyam (Khalai)	thirty eight	(ly³³ θam³³ tʰə³¹ wat³¹)	(l y ³³ + θ a m ³³ + tʰ ə ³¹ + w a t ³¹) 			
39	Makyam (Khalai)	thirty nine	(ly³³ pʰə³³ li³³ man⁴⁴ kʰuan⁴⁴)	(l y ³³ + pʰ ə ³³ + l i ³³ + m a n ⁴⁴ + kʰ ua n ⁴⁴) 			
40	Makyam (Khalai)	forty	ly³³ pʰə³³ li³³	l y ³³+ pʰ ə ³³+ l i ³³			
