ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS	MORPHEMES	SOURCE
60	Russian	sixty	шестьдесят	ʃʲestʲdʲesʲatʲ	ʃʲ e s tʲ + dʲ e sʲ a tʲ	8 2	six ten	Mulisch1993
61	Russian	sixty one	шестьдесят один	ʃʲestʲdʲesʲatʲ+odʲin	ʃʲ e s tʲ + dʲ e sʲ a tʲ + o dʲ i n	8 2 9	six ten one	Mulisch1993
62	Russian	sixty two	шестьдесят два	ʃʲestʲdʲesʲatʲ+dva	ʃʲ e s tʲ + dʲ e sʲ a tʲ + d v a	8 2 4	six ten two	Mulisch1993
63	Russian	sixty three	шестьдесят три	ʃʲestʲdʲesʲatʲ+trʲi	ʃʲ e s tʲ + dʲ e sʲ a tʲ + t rʲ i	8 2 5	six ten three	Mulisch1993
64	Russian	sixty four	шестьдесят четыре	ʃʲestʲdʲesʲatʲ+tʃʲetɨrʲe	ʃʲ e s tʲ + dʲ e sʲ a tʲ + tʃʲ e t ɨ rʲ e	8 2 13	six ten four	Mulisch1993
65	Russian	sixty five	шестьдесят пять	ʃʲestʲdʲesʲatʲ+pʲatʲ	ʃʲ e s tʲ + dʲ e sʲ a tʲ + pʲ a tʲ	8 2 7	six ten five	Mulisch1993
66	Russian	sixty six	шестьдесят шесть	ʃʲestʲdʲesʲatʲ+ʃʲestʲ	ʃʲ e s tʲ + dʲ e sʲ a tʲ + ʃʲ e s tʲ	8 2 8	six ten six	Mulisch1993
67	Russian	sixty seven	шестьдесят семь	ʃʲestʲdʲesʲatʲ+sʲemʲ	ʃʲ e s tʲ + dʲ e sʲ a tʲ + sʲ e mʲ	8 2 10	six ten seven	Mulisch1993
68	Russian	sixty eight	шестьдесят восемь	ʃʲestʲdʲesʲatʲ+vosʲemʲ	ʃʲ e s tʲ + dʲ e sʲ a tʲ + v o sʲ e mʲ	8 2 11	six ten eight	Mulisch1993
69	Russian	sixty nine	шестьдесят девять	ʃʲestʲdʲesʲatʲ+dʲevʲatʲ	ʃʲ e s tʲ + dʲ e sʲ a tʲ + dʲ e vʲ a tʲ	8 2 19	six ten nine	Mulisch1993
70	Russian	seventy	семьдесят	sʲemʲdʲesʲatʲ	sʲ e mʲ + dʲ e sʲ a tʲ	10 2	seven ten	Mulisch1993
71	Russian	seventy one	семьдесят один	sʲemʲdʲesʲatʲ+odʲin	sʲ e mʲ + dʲ e sʲ a tʲ + o dʲ i n	10 2 9	seven ten one	Mulisch1993
72	Russian	seventy two	семьдесят два	sʲemʲdʲesʲatʲ+dva	sʲ e mʲ + dʲ e sʲ a tʲ + d v a	10 2 4	seven ten two	Mulisch1993
73	Russian	seventy three	семьдесят три	sʲemʲdʲesʲatʲ+trʲi	sʲ e mʲ + dʲ e sʲ a tʲ + t rʲ i	10 2 5	seven ten three	Mulisch1993
74	Russian	seventy four	семьдесят четыре	sʲemʲdʲesʲatʲ+tʃʲetɨrʲe	sʲ e mʲ + dʲ e sʲ a tʲ + tʃʲ e t ɨ rʲ e	10 2 13	seven ten four	Mulisch1993
75	Russian	seventy five	семьдесят пять	sʲemʲdʲesʲatʲ+pʲatʲ	sʲ e mʲ + dʲ e sʲ a tʲ + pʲ a tʲ	10 2 7	seven ten five	Mulisch1993
76	Russian	seventy six	семьдесят шесть	sʲemʲdʲesʲatʲ+ʃʲestʲ	sʲ e mʲ + dʲ e sʲ a tʲ + ʃʲ e s tʲ	10 2 8	seven ten six	Mulisch1993
77	Russian	seventy seven	семьдесят семь	sʲemʲdʲesʲatʲ+sʲemʲ	sʲ e mʲ + dʲ e sʲ a tʲ + sʲ e mʲ	10 2 10	seven ten seven	Mulisch1993
78	Russian	seventy eight	семьдесят восемь	sʲemʲdʲesʲatʲ+vosʲemʲ	sʲ e mʲ + dʲ e sʲ a tʲ + v o sʲ e mʲ	10 2 11	seven ten eight	Mulisch1993
79	Russian	seventy nine	семьдесят девять	sʲemʲdʲesʲatʲ+dʲevʲatʲ	sʲ e mʲ + dʲ e sʲ a tʲ + dʲ e vʲ a tʲ	10 2 19	seven ten nine	Mulisch1993
80	Russian	eighty	восемьдесят	vosʲemʲdʲesʲatʲ	v o sʲ e mʲ + dʲ e sʲ a tʲ	11 2	eight ten	Mulisch1993
81	Russian	eighty one	восемьдесят один	vosʲemʲdʲesʲatʲ+odʲin	v o sʲ e mʲ + dʲ e sʲ a tʲ + o dʲ i n	11 2 9	eight ten one	Mulisch1993
82	Russian	eighty two	восемьдесят два	vosʲemʲdʲesʲatʲ+dva	v o sʲ e mʲ + dʲ e sʲ a tʲ + d v a	11 2 4	eight ten two	Mulisch1993
83	Russian	eighty three	восемьдесят три	vosʲemʲdʲesʲatʲ+trʲi	v o sʲ e mʲ + dʲ e sʲ a tʲ + t rʲ i	11 2 5	eight ten three	Mulisch1993
84	Russian	eighty four	восемьдесят четыре	vosʲemʲdʲesʲatʲ+tʃʲetɨrʲe	v o sʲ e mʲ + dʲ e sʲ a tʲ + tʃʲ e t ɨ rʲ e	11 2 13	eight ten four	Mulisch1993
85	Russian	eighty five	восемьдесят пять	vosʲemʲdʲesʲatʲ+pʲatʲ	v o sʲ e mʲ + dʲ e sʲ a tʲ + pʲ a tʲ	11 2 7	eight ten five	Mulisch1993
86	Russian	eighty six	восемьдесят шесть	vosʲemʲdʲesʲatʲ+ʃʲestʲ	v o sʲ e mʲ + dʲ e sʲ a tʲ + ʃʲ e s tʲ	11 2 8	eight ten six	Mulisch1993
87	Russian	eighty seven	восемьдесят семь	vosʲemʲdʲesʲatʲ+sʲemʲ	v o sʲ e mʲ + dʲ e sʲ a tʲ + sʲ e mʲ	11 2 10	eight ten seven	Mulisch1993
88	Russian	eighty eight	восемьдесят восемь	vosʲemʲdʲesʲatʲ+vosʲemʲ	v o sʲ e mʲ + dʲ e sʲ a tʲ + v o sʲ e mʲ	11 2 11	eight ten eight	Mulisch1993
89	Russian	eighty nine	восемьдесят девять	vosʲemʲdʲesʲatʲ+dʲevʲatʲ	v o sʲ e mʲ + dʲ e sʲ a tʲ + dʲ e vʲ a tʲ	11 2 19	eight ten nine	Mulisch1993
90	Russian	ninety	девяносто	dʲevʲanosto	dʲ e vʲ a -/tʲ + n o + s t o	19 99 100	nine ? hundred	Mulisch1993
91	Russian	ninety one	девяносто один	dʲevʲanosto+odʲin	dʲ e vʲ a -/tʲ + n o + s t o + o dʲ i n	19 99 100 9	nine ? hundred one	Mulisch1993
92	Russian	ninety two	девяносто два	dʲevʲanosto+dva	dʲ e vʲ a -/tʲ + n o + s t o + d v a	19 99 100 4	nine ? hundred two	Mulisch1993
93	Russian	ninety three	девяносто три	dʲevʲanosto+trʲi	dʲ e vʲ a -/tʲ + n o + s t o + t rʲ i	19 99 100 5	nine ? hundred three	Mulisch1993
94	Russian	ninety four	девяносто четыре	dʲevʲanosto+tʃʲetɨrʲe	dʲ e vʲ a -/tʲ + n o + s t o + tʃʲ e t ɨ rʲ e	19 99 100 13	nine ? hundred four	Mulisch1993
95	Russian	ninety five	девяносто пять	dʲevʲanosto+pʲatʲ	dʲ e vʲ a -/tʲ + n o + s t o + pʲ a tʲ	19 99 100 7	nine ? hundred five	Mulisch1993
96	Russian	ninety six	девяносто шесть	dʲevʲanosto+ʃʲestʲ	dʲ e vʲ a -/tʲ + n o + s t o + ʃʲ e s tʲ	19 99 100 8	nine ? hundred six	Mulisch1993
97	Russian	ninety seven	девяносто семь	dʲevʲanosto+sʲemʲ	dʲ e vʲ a -/tʲ + n o + s t o + sʲ e mʲ	19 99 100 10	nine ? hundred seven	Mulisch1993
98	Russian	ninety eight	девяносто восемь	dʲevʲanosto+vosʲemʲ	dʲ e vʲ a -/tʲ + n o + s t o + v o sʲ e mʲ	19 99 100 11	nine ? hundred eight	Mulisch1993
99	Russian	ninety nine	девяносто девять	dʲevʲanosto+dʲevʲatʲ	dʲ e vʲ a -/tʲ + n o + s t o + dʲ e vʲ a tʲ	19 99 100 19	nine ? hundred nine	Mulisch1993
