ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	ALIGNMENT	COGIDS	NOTE	SOURCE
50	hebr1245	twenty six	עשרים ושישה	esʁimveʃiʃa	e s -/e ʁ + i m + v e + ʃ i/e ʃ + a/-	ten suff_pl and six suff_masc_sg	e s -/e ʁ + i m + v e + ʃ i/e ʃ + a/-	10 13 15 6 11		Etzion2020ModernHebrew
51	hebr1245	twenty six	עשרים ושש	esʁimveʃeʃ	e s -/e ʁ + i m + v e + ʃ e ʃ	ten suff_pl and six	e s -/e ʁ + i m + v e + ʃ e ʃ	10 13 15 6		Etzion2020ModernHebrew
52	hebr1245	twenty seven	עשרים ושבעה	esʁimveʃiva	e s -/e ʁ + i m + v e + ʃ i/e v -/a + a/-	ten suff_pl and seven suff_masc_sg	e s -/e ʁ + i m + v e + ʃ i/e v -/a + a/-	10 13 15 7 11		Etzion2020ModernHebrew
53	hebr1245	twenty seven	עשרים ושבע	esʁimveʃeva	e s -/e ʁ + i m + v e + ʃ e v a	ten suff_pl and seven	e s -/e ʁ + i m + v e + ʃ e v a	10 13 15 7		Etzion2020ModernHebrew
54	hebr1245	twenty eight	עשרים ושמונה	esʁimuʃmona	e s -/e ʁ + i m + u/v -/e + ʃ m o n -/e + a/-	ten suff_pl and eight suff_masc_sg	e s -/e ʁ + i m + u/v -/e + ʃ m o n -/e + a/-	10 13 15 8 11		Etzion2020ModernHebrew
55	hebr1245	twenty eight	עשרים ושמונה	esʁimuʃmone	e s -/e ʁ + i m + u/v -/e + ʃ m o n e	ten suff_pl and eight	e s -/e ʁ + i m + u/v -/e + ʃ m o n e	10 13 15 8		Etzion2020ModernHebrew
56	hebr1245	twenty nine	עשרים ותשעה	esʁimvetiʃa	e s -/e ʁ + i m + v e + t i/e ʃ -/a + a/-	ten suff_pl and nine suff_masc_sg	e s -/e ʁ + i m + v e + t i/e ʃ -/a + a/-	10 13 15 9 11		Etzion2020ModernHebrew
57	hebr1245	twenty nine	עשרים ותשע	esʁimveteʃa	e s -/e ʁ + i m + v e + t e ʃ a	ten suff_pl and nine	e s -/e ʁ + i m + v e + t e ʃ a	10 13 15 9		Etzion2020ModernHebrew
58	hebr1245	thirty	שלושים	ʃloʃim	ʃ -/a l o ʃ + i m	three suff_pl	ʃ -/a l o ʃ + i m	3 13		Etzion2020ModernHebrew
59	hebr1245	thirty one	שלושים ואחד	ʃloʃimveeχad	ʃ -/a l o ʃ + i m + v e + e χ a d	three suff_pl and one	ʃ -/a l o ʃ + i m + v e + e χ a d	3 13 15 1		Etzion2020ModernHebrew
60	hebr1245	thirty one	שלושים ואחת	ʃloʃimveaχat	ʃ -/a l o ʃ + i m + v e + a/e χ a t/d	three suff_pl and one	ʃ -/a l o ʃ + i m + v e + a/e χ a t/d	3 13 15 1		Etzion2020ModernHebrew
61	hebr1245	thirty two	שלושים ושניים	ʃloʃimuʃnajim	ʃ -/a l o ʃ + i m + u/v -/e + ʃ n a j i m	three suff_pl and two	ʃ -/a l o ʃ + i m + u/v -/e + ʃ n a j i m	3 13 15 2		Etzion2020ModernHebrew
62	hebr1245	thirty two	שלושים ושתיים	ʃloʃimuʃtajim	ʃ -/a l o ʃ + i m + u/v -/e + ʃ t/n a j i m	three suff_pl and two	ʃ -/a l o ʃ + i m + u/v -/e + ʃ t/n a j i m	3 13 15 2		Etzion2020ModernHebrew
63	hebr1245	thirty three	שלושים ושלושה	ʃloʃimuʃloʃa	ʃ -/a l o ʃ + i m + u/v -/e + ʃ -/a l o ʃ + a/-	three suff_pl and three suff_masc_sg	ʃ -/a l o ʃ + i m + u/v -/e + ʃ -/a l o ʃ + a/-	3 13 15 3 11		Etzion2020ModernHebrew
64	hebr1245	thirty three	שלושים ושלוש	ʃloʃimveʃaloʃ	ʃ -/a l o ʃ + i m + v e + ʃ a l o ʃ	three suff_pl and three	ʃ -/a l o ʃ + i m + v e + ʃ a l o ʃ	3 13 15 3		Etzion2020ModernHebrew
65	hebr1245	thirty four	שלושים וארבעה	ʃloʃimveaʁbaa	ʃ -/a l o ʃ + i m + v e + a ʁ b a + a/-	three suff_pl and four suff_masc_sg	ʃ -/a l o ʃ + i m + v e + a ʁ b a + a/-	3 13 15 4 11		Etzion2020ModernHebrew
66	hebr1245	thirty four	שלושים וארבע	ʃloʃimveaʁba	ʃ -/a l o ʃ + i m + v e + a ʁ b a	three suff_pl and four	ʃ -/a l o ʃ + i m + v e + a ʁ b a	3 13 15 4		Etzion2020ModernHebrew
67	hebr1245	thirty five	שלושים וחמישה	ʃloʃimveχamiʃa	ʃ -/a l o ʃ + i m + v e + χ a m i/e ʃ + a/-	three suff_pl and five suff_masc_sg	ʃ -/a l o ʃ + i m + v e + χ a m i/e ʃ + a/-	3 13 15 5 11		Etzion2020ModernHebrew
68	hebr1245	thirty five	שלושים וחמש	ʃloʃimveχameʃ	ʃ -/a l o ʃ + i m + v e + χ a m e ʃ	three suff_pl and five	ʃ -/a l o ʃ + i m + v e + χ a m e ʃ	3 13 15 5		Etzion2020ModernHebrew
69	hebr1245	thirty six	שלושים ושישה	ʃloʃimveʃiʃa	ʃ -/a l o ʃ + i m + v e + ʃ i/e ʃ + a/-	three suff_pl and six suff_masc_sg	ʃ -/a l o ʃ + i m + v e + ʃ i/e ʃ + a/-	3 13 15 6 11		Etzion2020ModernHebrew
70	hebr1245	thirty six	שלושים ושש	ʃloʃimveʃeʃ	ʃ -/a l o ʃ + i m + v e + ʃ e ʃ	three suff_pl and six	ʃ -/a l o ʃ + i m + v e + ʃ e ʃ	3 13 15 6		Etzion2020ModernHebrew
71	hebr1245	thirty seven	שלושים ושבעה	ʃloʃimveʃiva	ʃ -/a l o ʃ + i m + v e + ʃ i/e v -/a + a/-	three suff_pl and seven suff_masc_sg	ʃ -/a l o ʃ + i m + v e + ʃ i/e v -/a + a/-	3 13 15 7 11		Etzion2020ModernHebrew
72	hebr1245	thirty seven	שלושים ושבע	ʃloʃimveʃeva	ʃ -/a l o ʃ + i m + v e + ʃ e v a	three suff_pl and seven	ʃ -/a l o ʃ + i m + v e + ʃ e v a	3 13 15 7		Etzion2020ModernHebrew
73	hebr1245	thirty eight	שלושים ושמונה	ʃloʃimuʃmona	ʃ -/a l o ʃ + i m + u/v -/e + ʃ m o n -/e + a/-	three suff_pl and eight suff_masc_sg	ʃ -/a l o ʃ + i m + u/v -/e + ʃ m o n -/e + a/-	3 13 15 8 11		Etzion2020ModernHebrew
74	hebr1245	thirty eight	שלושים ושמונה	ʃloʃimuʃmone	ʃ -/a l o ʃ + i m + u/v -/e + ʃ m o n e	three suff_pl and eight	ʃ -/a l o ʃ + i m + u/v -/e + ʃ m o n e	3 13 15 8		Etzion2020ModernHebrew
75	hebr1245	thirty nine	שלושים ותשעה	ʃloʃimvetiʃa	ʃ -/a l o ʃ + i m + v e + t i/e ʃ -/a + a/-	three suff_pl and nine suff_masc_sg	ʃ -/a l o ʃ + i m + v e + t i/e ʃ -/a + a/-	3 13 15 9 11		Etzion2020ModernHebrew
76	hebr1245	thirty nine	שלושים ותשע	ʃloʃimveteʃa	ʃ -/a l o ʃ + i m + v e + t e ʃ a	three suff_pl and nine	ʃ -/a l o ʃ + i m + v e + t e ʃ a	3 13 15 9		Etzion2020ModernHebrew
77	hebr1245	forty	ארבעים	aʁbaim	a ʁ b a + i m	four suff_pl	a ʁ b a + i m	4 13		Etzion2020ModernHebrew
78	hebr1245	forty one	ארבעים ואחד	aʁbaimveeχad	a ʁ b a + i m + v e + e χ a d	four suff_pl and one	a ʁ b a + i m + v e + e χ a d	4 13 15 1		Etzion2020ModernHebrew
