ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	COGIDS	SOURCE	NOTE	ALIGNMENT
54	Mandarin	fifty four	wǔ shí sì	u ²¹³ + ʂ ʅ ³⁵ + s ɿ ⁵¹	five ten four	5 10 4	Mandarin		u ²¹³ + ʂ ʅ ³⁵ + s ɿ ⁵¹
55	Mandarin	fifty five	wǔ shí wǔ	u ²¹³ + ʂ ʅ ³⁵ + u ²¹³	five ten five	5 10 5	Mandarin		u ²¹³ + ʂ ʅ ³⁵ + u ²¹³
56	Mandarin	fifty six	wǔ shí liù	u ²¹³ + ʂ ʅ ³⁵ + l j ou̯ ⁵¹	five ten six	5 10 6	Mandarin		u ²¹³ + ʂ ʅ ³⁵ + l j ou̯ ⁵¹
57	Mandarin	fifty seven	wǔ shí qī	u ²¹³ + ʂ ʅ ³⁵ + tɕʰ i ⁵⁵	five ten seven	5 10 7	Mandarin		u ²¹³ + ʂ ʅ ³⁵ + tɕʰ i ⁵⁵
58	Mandarin	fifty eight	wǔ shí bā	u ²¹³ + ʂ ʅ ³⁵ + p a ⁵⁵	five ten eight	5 10 8	Mandarin		u ²¹³ + ʂ ʅ ³⁵ + p a ⁵⁵
59	Mandarin	fifty nine	wǔ shí jiǔ	u ²¹³ + ʂ ʅ ³⁵ + tɕ j ou̯ ²¹³	five ten nine	5 10 9	Mandarin		u ²¹³ + ʂ ʅ ³⁵ + tɕ j ou̯ ²¹³
60	Mandarin	sixty	liù shí	l j ou̯ ⁵¹ + ʂ ʅ ³⁵	six ten	6 10	Mandarin		l j ou̯ ⁵¹ + ʂ ʅ ³⁵
61	Mandarin	sixty one	liù shí yī	l j ou̯ ⁵¹ + ʂ ʅ ³⁵ + i ⁵⁵	six ten one	6 10 1	Mandarin		l j ou̯ ⁵¹ + ʂ ʅ ³⁵ + i ⁵⁵
62	Mandarin	sixty two	liù shí èr	l j ou̯ ⁵¹ + ʂ ʅ ³⁵ + ɚ ⁵¹	six ten two	6 10 2	Mandarin		l j ou̯ ⁵¹ + ʂ ʅ ³⁵ + ɚ ⁵¹
63	Mandarin	sixty three	liù shí sān	l j ou̯ ⁵¹ + ʂ ʅ ³⁵ + s a n ⁵⁵	six ten three	6 10 3	Mandarin		l j ou̯ ⁵¹ + ʂ ʅ ³⁵ + s a n ⁵⁵
64	Mandarin	sixty four	liù shí sì	l j ou̯ ⁵¹ + ʂ ʅ ³⁵ + s ɿ ⁵¹	six ten four	6 10 4	Mandarin		l j ou̯ ⁵¹ + ʂ ʅ ³⁵ + s ɿ ⁵¹
65	Mandarin	sixty five	liù shí wǔ	l j ou̯ ⁵¹ + ʂ ʅ ³⁵ + u ²¹³	six ten five	6 10 5	Mandarin		l j ou̯ ⁵¹ + ʂ ʅ ³⁵ + u ²¹³
