ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS	MORPHEMES	SOURCE	NOTES
59	Chiquitano	fifty seven	matukɨ	matukɨ	m a + t u + k ɨ	4 1 2	five ten seven	Chiquitano2[6]	
60	Chiquitano	fifty eight	matumu	matumu	m a + t u + m u	4 1 5	five ten eight	Chiquitano2[6]	
61	Chiquitano	fifty nine	matuku	matuku	m a + t u + k u	4 1 3	five ten nine	Chiquitano2[6]	
62	Chiquitano	sixty	patu	patu	p a + t u	8 1	six ten	Chiquitano1[4] Chiquitano2[6]	
63	Chiquitano	sixty one	patuta	patuta	p a + t u + t a	8 1 10	six ten one1	Chiquitano2[6]	
64	Chiquitano	sixty two	patuto	patuto	p a + t u + t o	8 1 9	six ten two	Chiquitano2[6]	
65	Chiquitano	sixty three	patune	patune	p a + t u + n e	8 1 6	six ten three	Chiquitano2[6]	
66	Chiquitano	sixty four	patunu	patunu	p a + t u + n u	8 1 7	six ten four	Chiquitano2[6]	
67	Chiquitano	sixty five	patuma	patuma	p a + t u + m a	8 1 4	six ten five	Chiquitano2[6]	
68	Chiquitano	sixty six	patupa	patupa	p a + t u + p a	8 1 8	six ten six	Chiquitano2[6]	
69	Chiquitano	sixty seven	patukɨ	patukɨ	p a + t u + k ɨ	8 1 2	six ten seven	Chiquitano2[6]	
70	Chiquitano	sixty eight	patumu	patumu	p a + t u + m u	8 1 5	six ten eight	Chiquitano2[6]	
71	Chiquitano	sixty nine	patuku	patuku	p a + t u + k u	8 1 3	six ten nine	Chiquitano2[6]	
72	Chiquitano	seventy	kɨtu	kɨtu	k ɨ + t u	2 1	seven ten	Chiquitano1[4] Chiquitano2[6]	
73	Chiquitano	seventy one	kɨtuta	kɨtuta	k ɨ + t u + t a	2 1 10	seven ten one1	Chiquitano2[6]	
74	Chiquitano	seventy two	kɨtuto	kɨtuto	k ɨ + t u + t o	2 1 9	seven ten two	Chiquitano2[6]	
75	Chiquitano	seventy three	kɨtune	kɨtune	k ɨ + t u + n e	2 1 6	seven ten three	Chiquitano2[6]	
76	Chiquitano	seventy four	kɨtunu	kɨtunu	k ɨ + t u + n u	2 1 7	seven ten four	Chiquitano2[6]	
77	Chiquitano	seventy five	kɨtuma	kɨtuma	k ɨ + t u + m a	2 1 4	seven ten five	Chiquitano2[6]	
78	Chiquitano	seventy six	kɨtupa	kɨtupa	k ɨ + t u + p a	2 1 8	seven ten six	Chiquitano2[7]	
79	Chiquitano	seventy seven	kɨtukɨ	kɨtukɨ	k ɨ + t u + k ɨ	2 1 2	seven ten seven	Chiquitano2[7]	
80	Chiquitano	seventy eight	kɨtumu	kɨtumu	k ɨ + t u + m u	2 1 5	seven ten eight	Chiquitano2[7]	
81	Chiquitano	seventy nine	kɨtuku	kɨtuku	k ɨ + t u + k u	2 1 3	seven ten nine	Chiquitano2[7]	
82	Chiquitano	eighty	mutu	mutu	m u + t u	5 1	eight ten	Chiquitano1[4] Chiquitano2[7]	
83	Chiquitano	eighty one	mututa	mututa	m u + t u + t a	5 1 10	eight ten one1	Chiquitano2[7]	
84	Chiquitano	eighty two	mututo	mututo	m u + t u + t o	5 1 9	eight ten two	Chiquitano2[7]	
85	Chiquitano	eighty three	mutune	mutune	m u + t u + n e	5 1 6	eight ten three	Chiquitano2[7]	
86	Chiquitano	eighty four	mutunu	mutunu	m u + t u + n u	5 1 7	eight ten four	Chiquitano2[7]	
87	Chiquitano	eighty five	mutuma	mutuma	m u + t u + m a	5 1 4	eight ten five	Chiquitano2[7]	
88	Chiquitano	eighty six	mutupa	mutupa	m u + t u + p a	5 1 8	eight ten six	Chiquitano2[7]	
89	Chiquitano	eighty seven	mutukɨ	mutukɨ	m u + t u + k ɨ	5 1 2	eight ten seven	Chiquitano2[7]	
90	Chiquitano	eighty eight	mutumu	mutumu	m u + t u + m u	5 1 5	eight ten eight	Chiquitano2[7]	
91	Chiquitano	eighty nine	mutuku	mutuku	m u + t u + k u	5 1 3	eight ten nine	Chiquitano2[7]	
92	Chiquitano	ninety	kutu	kutu	k u + t u	3 1	nine ten	Chiquitano1[4] Chiquitano2[7]	
93	Chiquitano	ninety one	kututa	kututa	k u + t u + t a	3 1 10	nine ten one1	Chiquitano2[7]	
94	Chiquitano	ninety two	kututo	kututo	k u + t u + t o	3 1 9	nine ten two	Chiquitano2[7]	
95	Chiquitano	ninety three	kutune	kutune	k u + t u + n e	3 1 6	nine ten three	Chiquitano2[7]	
96	Chiquitano	ninety four	kutunu	kutunu	k u + t u + n u	3 1 7	nine ten four	Chiquitano2[7]	
97	Chiquitano	ninety five	kutuma	kutuma	k u + t u + m a	3 1 4	nine ten five	Chiquitano2[7]	
98	Chiquitano	ninety six	kutupa	kutupa	k u + t u + p a	3 1 8	nine ten six	Chiquitano2[7]	
99	Chiquitano	ninety seven	kutukɨ	kutukɨ	k u + t u + k ɨ	3 1 2	nine ten seven	Chiquitano2[7]	
100	Chiquitano	ninety eight	kutumu	kutumu	k u + t u + m u	3 1 5	nine ten eight	Chiquitano2[7]	
101	Chiquitano	ninety nine	kutuku	kutuku	k u + t u + k u	3 1 3	nine ten nine	Chiquitano2[7]	
102	Chiquitano	hundred	nui	nui	nui	11	hundred	Chiquitano1[7] Chiquitano2[7]	
