ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	ALIGNMENT	COGIDS	NOTE	SOURCE
93	Barwar_Neo-Aramaic	eighty three	tmáni-w-ṭḷáθa	t m a n -/j -/a + i + w + tˤ lˤ a θ a	eight ty and three		16 21 22 5		Khan2008
94	Barwar_Neo-Aramaic	eighty four	tmáni-w-’árba	t m a n -/j -/a + i + w + ʔ a r b a	eight ty and four		16 21 22 8		Khan2008
95	Barwar_Neo-Aramaic	eighty five	tmáni-w-xámša	t m a n -/j -/a + i + w + x a m ʃ a	eight ty and five		16 21 22 9		Khan2008
96	Barwar_Neo-Aramaic	eighty six	tmáni-w-’ǝ́šta	t m a n -/j -/a + i + w + ʔ ǝ ʃ t a	eight ty and six		16 21 22 11		Khan2008
97	Barwar_Neo-Aramaic	eighty seven	tmáni-w-šáwwa	t m a n -/j -/a + i + w + ʃ a wː a	eight ty and seven		16 21 22 13		Khan2008
98	Barwar_Neo-Aramaic	eighty eight	tmáni-w-tmánya	t m a n -/j -/a + i + w + t m a n j a	eight ty and eight		16 21 22 16		Khan2008
99	Barwar_Neo-Aramaic	eighty nine	tmáni-w-’ǝč̣č̣a	t m a n -/j -/a + i + w + ʔ ǝ ʧˤː a	eight ty and nine		16 21 22 17		Khan2008
100	Barwar_Neo-Aramaic	ninety	’ǝč̣č̣i	ʔ ǝ ʧˤː -/a + i	nine ty		17 21		Khan2008
101	Barwar_Neo-Aramaic	ninety one	’ǝč̣č̣i-w-xa	ʔ ǝ ʧˤː -/a + i + w + x a -/d	nine ty and one		17 21 22 1		Khan2008
102	Barwar_Neo-Aramaic	ninety two	’ǝč̣č̣i-w-tre	ʔ ǝ ʧˤː -/a + i + w + t r e	nine ty and two		17 21 22 3		Khan2008
103	Barwar_Neo-Aramaic	ninety three	’ǝč̣č̣i-w-ṭḷáθa	ʔ ǝ ʧˤː -/a + i + w + tˤ lˤ a θ a	nine ty and three		17 21 22 5		Khan2008
104	Barwar_Neo-Aramaic	ninety four	’ǝč̣č̣i-w-’árba	ʔ ǝ ʧˤː -/a + i + w + ʔ a r b a	nine ty and four		17 21 22 8		Khan2008
105	Barwar_Neo-Aramaic	ninety five	’ǝč̣č̣i-w-xámša	ʔ ǝ ʧˤː -/a + i + w + x a m ʃ a	nine ty and five		17 21 22 9		Khan2008
106	Barwar_Neo-Aramaic	ninety six	’ǝč̣č̣i-w-’ǝ́šta	ʔ ǝ ʧˤː -/a + i + w + ʔ ǝ ʃ t a	nine ty and six		17 21 22 11		Khan2008
107	Barwar_Neo-Aramaic	ninety seven	’ǝč̣č̣i-w-šáwwa	ʔ ǝ ʧˤː -/a + i + w + ʃ a wː a	nine ty and seven		17 21 22 13		Khan2008
108	Barwar_Neo-Aramaic	ninety eight	’ǝč̣č̣i-w-tmánya	ʔ ǝ ʧˤː -/a + i + w + t m a n j a	nine ty and eight		17 21 22 16		Khan2008
109	Barwar_Neo-Aramaic	ninety nine	’ǝč̣č̣i-w-’ǝč̣č̣a	ʔ ǝ ʧˤː -/a + i + w + ʔ ǝ ʧˤː a	nine ty and nine		17 21 22 17		Khan2008
