ID	DOCULECT	CONCEPT	VALUE	FORM	LOCAL_ID	TOKENS	MORPHEMES	COGIDS	ALIGNMENT	NOTE	SOURCE
41	Latin	forty one	quadraginta unus	kʷadraːɡɪntaː_uːnʊs		kʷ a d r + aː + g ɪ n t aː + uː n + ʊ s	four2 a-epenthesis tens_suff one nom.m.sg_suff	41 14 5 2 11	kʷ a d r + aː + g ɪ n t aː + uː n + ʊ s	None	Dellert2020;Rubenbauer1995
42	Latin	forty two	quadraginta duo	kʷadraːɡɪntaː_dʊɔ		kʷ a d r + aː + g ɪ n t aː + d ʊ ɔ	four2 a-epenthesis tens_suff two	41 14 5 4	kʷ a d r + aː + g ɪ n t aː + d ʊ ɔ	None	Dellert2020;Rubenbauer1995
43	Latin	forty three	quadraginta tres	kʷadraːɡɪntaː_treːs		kʷ a d r + aː + g ɪ n t aː + t r eː s	four2 a-epenthesis tens_suff three	41 14 5 1	kʷ a d r + aː + g ɪ n t aː + t r eː s	None	Dellert2020;Rubenbauer1995
44	Latin	forty four	quadraginta quattuor	kʷadraːɡɪntaː_kʷatːʊɔr		kʷ a d r + aː + g ɪ n t aː + kʷ a tː ʊ ɔ r	four2 a-epenthesis tens_suff four	41 14 5 9	kʷ a d r + aː + g ɪ n t aː + kʷ a tː ʊ ɔ r	None	Dellert2020;Rubenbauer1995
45	Latin	forty five	quadraginta quinque	kʷadraːɡɪntaː_kʷiːŋkʷɛ		kʷ a d r + aː + g ɪ n t aː + kʷ iː ŋ kʷ ɛ	four2 a-epenthesis tens_suff five	41 14 5 3	kʷ a d r + aː + g ɪ n t aː + kʷ iː ŋ kʷ ɛ	None	Dellert2020;Rubenbauer1995
46	Latin	forty six	quadraginta sex	kʷadraːɡɪntaː_sɛks		kʷ a d r + aː + g ɪ n t aː + s ɛ k s	four2 a-epenthesis tens_suff six	41 14 5 12	kʷ a d r + aː + g ɪ n t aː + s ɛ k s	None	Dellert2020;Rubenbauer1995
47	Latin	forty seven	quadraginta septem	kʷadraːɡɪntaː_sɛptɛ̃		kʷ a d r + aː + g ɪ n t aː + s ɛ p t ɛ̃/ɛ -/m	four2 a-epenthesis tens_suff seven	41 14 5 13	kʷ a d r + aː + g ɪ n t aː + s ɛ p t ɛ̃/ɛ -/m	None	Dellert2020;Rubenbauer1995
48	Latin	forty eight	duodequinquaginta	dʊodeːkʷiːŋkʷaːɡiːntaː		d ʊ ɔ + d eː + kʷ iː ŋ kʷ -/ɛ + aː + g ɪ n t aː	two from five a-epenthesis tens_suff	4 10 3 14 5	d ʊ ɔ + d eː + kʷ iː ŋ kʷ -/ɛ + aː + g ɪ n t aː	None	Dellert2020;Rubenbauer1995
49	Latin	forty nine	undequinquaginta	ʊndeːkʷiːŋkʷaːɡiːntaː		ʊ/uː n + d eː + kʷ iː ŋ kʷ -/ɛ + aː + g ɪ n t aː	one from five a-epenthesis tens_suff	2 10 3 14 5	ʊ/uː n + d eː + kʷ iː ŋ kʷ -/ɛ + aː + g ɪ n t aː	None	Dellert2020;Rubenbauer1995
50	Latin	fifty	quinquaginta	kʷiːŋkʷaːɡiːntaː		kʷ iː ŋ kʷ -/ɛ + aː + g ɪ n t aː	five a-epenthesis tens_suff	3 14 5	kʷ iː ŋ kʷ -/ɛ + aː + g ɪ n t aː	None	Dellert2020
51	Latin	fifty one	quinquaginta unus	kʷiːŋkʷaːɡiːntaː_uːnʊs		kʷ iː ŋ kʷ -/ɛ + aː + g ɪ n t aː + uː n + ʊ s	five a-epenthesis tens_suff one nom.m.sg_suff	3 14 5 2 11	kʷ iː ŋ kʷ -/ɛ + aː + g ɪ n t aː + uː n + ʊ s	None	Dellert2020;Rubenbauer1995
52	Latin	fifty two	quinquaginta duo	kʷiːŋkʷaːɡiːntaː_dʊɔ		kʷ iː ŋ kʷ -/ɛ + aː + g ɪ n t aː + d ʊ ɔ	five a-epenthesis tens_suff two	3 14 5 4	kʷ iː ŋ kʷ -/ɛ + aː + g ɪ n t aː + d ʊ ɔ	None	Dellert2020;Rubenbauer1995
53	Latin	fifty three	quinquaginta tres	kʷiːŋkʷaːɡiːntaː_treːs		kʷ iː ŋ kʷ -/ɛ + aː + g ɪ n t aː + t r eː s	five a-epenthesis tens_suff three	3 14 5 1	kʷ iː ŋ kʷ -/ɛ + aː + g ɪ n t aː + t r eː s	None	Dellert2020;Rubenbauer1995
54	Latin	fifty four	quinquaginta quattuor	kʷiːŋkʷaːɡiːntaː_kʷatːʊɔr		kʷ iː ŋ kʷ -/ɛ + aː + g ɪ n t aː + kʷ a tː ʊ ɔ r	five a-epenthesis tens_suff four	3 14 5 9	kʷ iː ŋ kʷ -/ɛ + aː + g ɪ n t aː + kʷ a tː ʊ ɔ r	None	Dellert2020;Rubenbauer1995
