ID	DOCULECT	CONCEPT	NUMBER	FORM	TOKENS	ALIGNMENT	MORPHEMES	COGIDS	SOURCE
20	Shanghainese	twenty	20	ȵiᴇ²³	ȵ iᴇ ²³	ȵ iᴇ ²³	twenty	20	Shanghainese
21	Shanghainese	twenty one	21	ȵiᴇ²³iɪʔ⁵⁵	ȵ iᴇ ²³ + iɪ ʔ ⁵⁵	ȵ iᴇ ²³ +iɪ ʔ ⁵⁵	twenty one	20 1	Shanghainese
22	Shanghainese	twenty two	22	ȵiᴇ²³ȵi²³	ȵ iᴇ ²³ + ȵ i ²³	ȵ iᴇ ²³ + ȵ i ²³	twenty two	20 2	Shanghainese
23	Shanghainese	twenty three	23	ȵiᴇ²³sᴇ⁵³	ȵ iᴇ ²³ + s ᴇ ⁵³	ȵ iᴇ ²³ + s ᴇ ⁵³	twenty three	20 3	Shanghainese
24	Shanghainese	twenty four	24	ȵiᴇ²³sɿ³⁴	ȵ iᴇ ²³ + s ɿ ³⁴	ȵ iᴇ ²³ + s ɿ ³⁴	twenty four	20 4	Shanghainese
25	Shanghainese	twenty five	25	ȵiᴇ²³ɦŋ̍²³	ȵ iᴇ ²³ + ɦ ŋ ̍ ²³	ȵ iᴇ ²³ + ɦ ŋ ̍ ²³	twenty five	20 5	Shanghainese
26	Shanghainese	twenty six	26	ȵiᴇ²³loʔ¹²	ȵ iᴇ ²³ + l o ʔ ¹²	ȵ iᴇ ²³ + l o ʔ ¹²	twenty six	20 6	Shanghainese
27	Shanghainese	twenty seven	27	ȵiᴇ²³tɕ'iɪʔ	ȵ iᴇ ²³ + tɕʰ iɪ ʔ	ȵ iᴇ ²³ + tɕʰ iɪ ʔ	twenty seven	20 7	Shanghainese
28	Shanghainese	twenty eight	28	ȵiᴇ²³pᴀʔ⁵⁵	ȵ iᴇ ²³ + p ᴀ ʔ ⁵⁵	ȵ iᴇ ²³ + p ᴀ ʔ ⁵⁵	twenty eight	20 8	Shanghainese
29	Shanghainese	twenty nine	29	ȵiᴇ²³tɕiɤ³⁴	ȵ iᴇ ²³ + tɕ iɤ ³⁴	ȵ iᴇ ²³ + tɕ iɤ ³⁴	twenty nine	20 9	Shanghainese
30	Shanghainese	thirty	30	sᴇ⁵³zəʔ¹²	s ᴇ ⁵³ + z ə ʔ ¹²	s ᴇ ⁵³ + s ə ʔ ¹²	three ten	3 10	Shanghainese
31	Shanghainese	thirty one	31	sᴇ⁵³zəʔ¹²iɪʔ⁵⁵	s ᴇ ⁵³ + z ə ʔ ¹² + iɪ ʔ ⁵⁵	s ᴇ ⁵³ + z ə ʔ ¹² +iɪ ʔ ⁵⁵	three ten one	3 10 1	Shanghainese
32	Shanghainese	thirty two	32	sᴇ⁵³zəʔ¹²ȵi²³	s ᴇ ⁵³ + z ə ʔ ¹² + ȵ i ²³	s ᴇ ⁵³ + z ə ʔ ¹² + ȵ i ²³	three ten two	3 10 2	Shanghainese
33	Shanghainese	thirty three	33	sᴇ⁵³zəʔ¹²sᴇ⁵³	s ᴇ ⁵³ + z ə ʔ ¹² + s ᴇ ⁵³	s ᴇ ⁵³ + z ə ʔ ¹² + s ᴇ ⁵³	three ten three	3 10 3	Shanghainese
34	Shanghainese	thirty four	34	sᴇ⁵³zəʔ¹²sɿ³⁴	s ᴇ ⁵³ + z ə ʔ ¹² + s ɿ ³⁴	s ᴇ ⁵³ + z ə ʔ ¹² + s ɿ ³⁴	three ten four	3 10 4	Shanghainese
35	Shanghainese	thirty five	35	sᴇ⁵³zəʔ¹²ɦŋ̍²³	s ᴇ ⁵³ + z ə ʔ ¹² + ɦ ŋ ̍ ²³	s ᴇ ⁵³ + z ə ʔ ¹² + ɦ ŋ ̍ ²³	three ten five	3 10 5	Shanghainese
36	Shanghainese	thirty six	36	sᴇ⁵³zəʔ¹²loʔ¹²	s ᴇ ⁵³ + z ə ʔ ¹² + l o ʔ ¹²	s ᴇ ⁵³ + z ə ʔ ¹² + l o ʔ ¹²	three ten six	3 10 6	Shanghainese
37	Shanghainese	thirty seven	37	sᴇ⁵³zəʔ¹²tɕ'iɪʔ	s ᴇ ⁵³ + z ə ʔ ¹² + tɕʰ iɪ ʔ	s ᴇ ⁵³ + z ə ʔ ¹² + tɕʰ iɪ ʔ	three ten seven	3 10 7	Shanghainese
38	Shanghainese	thirty eight	38	sᴇ⁵³zəʔ¹²pᴀʔ⁵⁵	s ᴇ ⁵³ + z ə ʔ ¹² + p ᴀ ʔ ⁵⁵	s ᴇ ⁵³ + z ə ʔ ¹² + p ᴀ ʔ ⁵⁵	three ten eight	3 10 8	Shanghainese
39	Shanghainese	thirty nine	39	sᴇ⁵³zəʔ¹²tɕiɤ³⁴	s ᴇ ⁵³ + z ə ʔ ¹² + tɕ iɤ ³⁴	s ᴇ ⁵³ + z ə ʔ ¹² + tɕ iɤ ³⁴	three ten nine	3 10 9	Shanghainese
40	Shanghainese	forty	40	sɿ³⁴səʔ¹²	s ɿ ³⁴ + s/z ə ʔ ¹²	s ɿ ³⁴ + s ə ʔ ¹²	four ten	4 10	Shanghainese
