ID	DOCULECT	CONCEPT	NUMBER	VALUE	FORM	TOKENS	MORPHEMES	COGIDS	SOURCE
47	French	FORTY SEVEN	47	quarante-sept	kaʁɑ̃tsɛt	k a -/t ʁ - + ɑ̃ t + s ɛ t	four tenstep seven	4 17 7	French
48	French	FORTY EIGHT	48	quarante-huit	kaʁɑ̃tɥit	k a -/t ʁ - + ɑ̃ t + ɥ i t	four tenstep eight	4 17 8	French
49	French	FORTY NINE	49	quarante-neuf	kaʁɑ̃tnœf	k a -/t ʁ - + ɑ̃ t + n œ f	four tenstep nine	4 17 9	French
50	French	FIFTY	50	cinquante	sɛ̃kɑ̃t	s ɛ̃ k + ɑ̃ t	five tenstep	5 17	French
51	French	FIFTY ONE	51	cinquante et un	sɛ̃kɑ̃teœ̃	s ɛ̃ k + ɑ̃ t + e + œ̃	five tenstep and one	5 17 18 1	French
52	French	FIFTY TWO	52	cinquante-deux	sɛ̃kɑ̃tdø	s ɛ̃ k + ɑ̃ t + d ø	five tenstep two	5 17 2	French
53	French	FIFTY THREE	53	cinquante-trois	sɛ̃kɑ̃tʁwɑ	s ɛ̃ k + ɑ̃ -/t + t ʁ w ɑ	five tenstep three	5 17 3	French
54	French	FIFTY FOUR	54	cinquante-quatre	sɛ̃kɑ̃tkatʁ	s ɛ̃ k + ɑ̃ t + k a t ʁ	five tenstep four	5 17 4	French
55	French	FIFTY FIVE	55	cinquante-cinq	sɛ̃kɑ̃tsɛ̃k	s ɛ̃ k + ɑ̃ t + s ɛ̃ k	five tenstep five	5 17 5	French
56	French	FIFTY SIX	56	cinquante-six	sɛ̃kɑ̃tsis	s ɛ̃ k + ɑ̃ t + s i s	five tenstep six	5 17 6	French
57	French	FIFTY SEVEN	57	cinquante-sept	sɛ̃kɑ̃tsɛt	s ɛ̃ k + ɑ̃ t + s ɛ t	five tenstep seven	5 17 7	French
58	French	FIFTY EIGHT	58	cinquante-huit	sɛ̃kɑ̃tɥit	s ɛ̃ k + ɑ̃ t + ɥ i t	five tenstep eight	5 17 8	French
59	French	FIFTY NINE	59	cinquante-neuf	sɛ̃kɑ̃tnœf	s ɛ̃ k + ɑ̃ t + n œ f	five tenstep nine	5 17 9	French
60	French	SIXTY	60	soixante	swasɑ̃t	s w a s + ɑ̃ t	six(2) tenstep	21 17	French
61	French	SIXTY ONE	61	soixante et un	swasɑ̃teœ̃	s w a s + ɑ̃ t + e + œ̃	six(2) tenstep and one	21 17 18 1	French
62	French	SIXTY TWO	62	soixante-deux	swasɑ̃tdø	s w a s + ɑ̃ t + d ø	six(2) tenstep two	21 17 2	French
63	French	SIXTY THREE	63	soixante-trois	swasɑ̃tʁwɑ	s w a s + ɑ̃ -/t + t ʁ w ɑ	six(2) tenstep three	21 17 3	French
64	French	SIXTY FOUR	64	soixante-quatre	swasɑ̃tkatʁ	s w a s + ɑ̃ t + k a t ʁ	six(2) tenstep four	21 17 4	French
65	French	SIXTY FIVE	65	soixante-cinq	swasɑ̃tsɛ̃k	s w a s + ɑ̃ t + s ɛ̃ k	six(2) tenstep five	21 17 5	French
66	French	SIXTY SIX	66	soixante-six	swasɑ̃tsis	s w a s + ɑ̃ t + s i s	six(2) tenstep six	21 17 6	French
67	French	SIXTY SEVEN	67	soixante-sept	swasɑ̃tsɛt	s w a s + ɑ̃ t + s ɛ t	six(2) tenstep seven	21 17 7	French
68	French	SIXTY EIGHT	68	soixante-huit	swasɑ̃tɥit	s w a s + ɑ̃ t + ɥ i t	six(2) tenstep eight	21 17 8	French
69	French	SIXTY NINE	69	soixante-neuf	swasɑ̃tnœf	s w a s + ɑ̃ t + n œ f	six(2) tenstep nine	21 17 9	French
70	French	SEVENTY	70	soixante-dix	swasɑ̃tdis	s w a s + ɑ̃ t + d i s	six(2) tenstep ten	21 17 10	French
101	French	SEVENTY	70	septante	sɛtɑ̃t	s ɛ t + ɑ̃ t	seven tenstep	7 17	French
71	French	SEVENTY ONE	71	soixante et onze	swasɑ̃tɔ̃z	s w a s + ɑ̃ t + ɔ̃ z	six(2) tenstep eleven	21 17 11	French
72	French	SEVENTY TWO	72	soixante-douze	swasɑ̃tduz	s w a s + ɑ̃ t + d u z	six(2) tenstep twelve	21 17 12	French
73	French	SEVENTY THREE	73	soixante-treize	swasɑ̃tʁɛz	s w a s + ɑ̃ -/t + t ʁ ɛ z	six(2) tenstep thirteen	21 17 13	French
74	French	SEVENTY FOUR	74	soixante-quatorze	swasɑ̃tkatɔʁz	s w a s + ɑ̃ t + k a t ɔ ʁ z	six(2) tenstep fourteen	21 17 14	French
75	French	SEVENTY FIVE	75	soixante-quinze	swasɑ̃tkɛ̃z	s w a s + ɑ̃ t + k ɛ̃ z	six(2) tenstep fifteen	21 17 15	French
76	French	SEVENTY SIX	76	soixante-seize	swasɑ̃tsɛz	s w a s + ɑ̃ t + s ɛ z	six(2) tenstep sixteen	21 17 16	French
77	French	SEVENTY SEVEN	77	soixante-dix-sept	swasɑ̃tdisɛt	s w a s + ɑ̃ t + d i -/s + s ɛ t	six(2) tenstep ten seven	21 17 10 7	French
78	French	SEVENTY EIGHT	78	soixante-dix-huit	swasɑ̃tdizɥit	s w a s + ɑ̃ t + d i z/s + ɥ i t	six(2) tenstep ten eight	21 17 10 8	French
79	French	SEVENTY NINE	79	soixante-dix-neuf	swasɑ̃tdiznœf	s w a s + ɑ̃ t + d i z/s + n œ f	six(2) tenstep ten nine	21 17 10 9	French
80	French	EIGHTY	80	quatre-vingts	katʁəvɛ̃	k a t ʁ ə/- + v ɛ̃ -/t 	four twenty	4 20	French
81	French	EIGHTY ONE	81	quatre-vingt-un	katʁəvɛ̃œ̃	k a t ʁ ə/- + v ɛ̃ -/t + œ̃	four twenty one	4 20 1	French
82	French	EIGHTY TWO	82	quatre-vingt-deux	katʁəvɛ̃dø	k a t ʁ ə/- + v ɛ̃ -/t + d ø	four twenty two	4 20 2	French
83	French	EIGHTY THREE	83	quatre-vingt-trois	katʁəvɛ̃tʁwɑ	k a t ʁ ə/- + v ɛ̃ -/t + t ʁ w ɑ	four twenty three	4 20 3	French
84	French	EIGHTY FOUR	84	quatre-vingt-quatre	katʁəvɛ̃katʁ	k a t ʁ ə/- + v ɛ̃ -/t + k a t ʁ	four twenty four	4 20 4	French
85	French	EIGHTY FIVE	85	quatre-vingt-cinq	katʁəvɛ̃sɛ̃k	k a t ʁ ə/- + v ɛ̃ -/t + s ɛ̃ k	four twenty five	4 20 5	French
86	French	EIGHTY SIX	86	quatre-vingt-six	katʁəvɛ̃sis	k a t ʁ ə/- + v ɛ̃ -/t + s i s	four twenty six	4 20 6	French
87	French	EIGHTY SEVEN	87	quatre-vingt-sept	katʁəvɛ̃sɛt	k a t ʁ ə/- + v ɛ̃ -/t + s ɛ t	four twenty seven	4 20 7	French
88	French	EIGHTY EIGHT	88	quatre-vingt-huit	katʁəvɛ̃ɥit	k a t ʁ ə/- + v ɛ̃ -/t + ɥ i t	four twenty eight	4 20 8	French
89	French	EIGHTY NINE	89	quatre-vingt-neuf	katʁəvɛ̃nœf	k a t ʁ ə/- + v ɛ̃ -/t + n œ f	four twenty nine	4 20 9	French
90	French	NINETY	90	quatre-vingt-dix	katʁəvɛ̃dis	k a t ʁ ə/- + v ɛ̃ -/t + d i s	four twenty ten	4 20 10	French
91	French	NINETY ONE	91	quatre-vingt-onze	katʁəvɛ̃ɔ̃z	k a t ʁ ə/- + v ɛ̃ -/t + ɔ̃ z	four twenty eleven	4 20 11	French
92	French	NINETY TWO	92	quatre-vingt-douze	katʁəvɛ̃duz	k a t ʁ ə/- + v ɛ̃ -/t + d u z	four twenty twelve	4 20 12	French
93	French	NINETY THREE	93	quatre-vingt-treize	katʁəvɛ̃tʁɛz	k a t ʁ ə/- + v ɛ̃ -/t + t ʁ ɛ z	four twenty thirteen	4 20 13	French
94	French	NINETY FOUR	94	quatre-vingt-quatorze	katʁəvɛ̃katɔʁz	k a t ʁ ə/- + v ɛ̃ -/t + k a t ɔ ʁ z	four twenty fourteen	4 20 14	French
95	French	NINETY FIVE	95	quatre-vingt-quinze	katʁəvɛ̃kɛ̃z	k a t ʁ ə/- + v ɛ̃ -/t + k ɛ̃ z	four twenty fifteen	4 20 15	French
96	French	NINETY SIX	96	quatre-vingt-seize	katʁəvɛ̃sɛz	k a t ʁ ə/- + v ɛ̃ -/t + s ɛ z	four twenty sixteen	4 20 16	French
97	French	NINETY SEVEN	97	quatre-vingt-dix-sept	katʁəvɛ̃disɛt	k a t ʁ ə/- + v ɛ̃ -/t + d i -/s + s ɛ t	four twenty ten seven	4 20 10 7	French
98	French	NINETY EIGHT	98	quatre-vingt-dix-huit	katʁəvɛ̃dizɥit	k a t ʁ ə/- + v ɛ̃ -/t + d i z/s + ɥ i t	four twenty ten eight	4 20 10 8	French
99	French	NINETY NINE	99	quatre-vingt-dix-neuf	katʁəvɛ̃diznœf	k a t ʁ ə/- + v ɛ̃ -/t + d i z/s + n œ f	four twenty ten nine	4 20 10 9	French
