ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	COGIDS	GLOTTOCODE	ALIGNMENT	NOTE	SOURCE
76	Wolam	seventy six	au tʃiɲat kə ajuk	au + tʃ i ɲ a t + k ə + a j u k	ten2 seven attr six	10 7 99 6	wola1254	au + tʃ i ɲ a t + k ə + a j u k		vanDam2026wolam
77	Wolam	seventy seven	au tʃiɲat kə tʃiɲat	au + tʃ i ɲ a t + k ə + tʃ i ɲ a t	ten2 seven attr seven	10 7 99 7	wola1254	au + tʃ i ɲ a t + k ə + tʃ i ɲ a t		vanDam2026wolam
78	Wolam	seventy eight	au tʃiɲat kə pəti	au + tʃ i ɲ a t + k ə + p ə t i	ten2 seven attr eight	10 7 99 8	wola1254	au + tʃ i ɲ a t + k ə + p ə t i		vanDam2026wolam
79	Wolam	seventy nine	au tʃiɲat kə ləkau	au + tʃ i ɲ a t + k ə + l ə k au	ten2 seven attr nine	10 7 99 9	wola1254	au + tʃ i ɲ a t + k ə + l ə k au		vanDam2026wolam
80	Wolam	eighty	au pəti	au + p ə t i	ten2 eight 	10 8 	wola1254	au + p ə t i		vanDam2026wolam
81	Wolam	eighty one	au pəti kə tak	au + p ə t i + k ə + t a k	ten2 eight attr one	10 8 99 1	wola1254	au + p ə t i + k ə + t a k		vanDam2026wolam
82	Wolam	eighty two	au pəti kə ləmeʔ	au + p ə t i + k ə + l ə m e ʔ	ten2 eight attr two2	10 8 99 2	wola1254	au + p ə t i + k ə + l ə m e ʔ		vanDam2026wolam
83	Wolam	eighty three	au pəti kə hameʔ	au + p ə t i + k ə + h a m e ʔ	ten2 eight attr three2	10 8 99 3	wola1254	au + p ə t i + k ə + h a m e ʔ		vanDam2026wolam
84	Wolam	eighty four	au pəti kə pəle	au + p ə t i + k ə + p ə l e	ten2 eight attr four	10 8 99 4	wola1254	au + p ə t i + k ə + p ə l e		vanDam2026wolam
85	Wolam	eighty five	au pəti kə pəŋu	au + p ə t i + k ə + p ə ŋ u	ten2 eight attr five	10 8 99 5	wola1254	au + p ə t i + k ə + p ə ŋ u		vanDam2026wolam
86	Wolam	eighty six	au pəti kə ajuk	au + p ə t i + k ə + a j u k	ten2 eight attr six	10 8 99 6	wola1254	au + p ə t i + k ə + a j u k		vanDam2026wolam
87	Wolam	eighty seven	au pəti kə tʃiɲat	au + p ə t i + k ə + tʃ i ɲ a t	ten2 eight attr seven	10 8 99 7	wola1254	au + p ə t i + k ə + tʃ i ɲ a t		vanDam2026wolam
88	Wolam	eighty eight	au pəti kə pəti	au + p ə t i + k ə + p ə t i	ten2 eight attr eight	10 8 99 8	wola1254	au + p ə t i + k ə + p ə t i		vanDam2026wolam
89	Wolam	eighty nine	au pəti kə ləkau	au + p ə t i + k ə + l ə k au	ten2 eight attr nine	10 8 99 9	wola1254	au + p ə t i + k ə + l ə k au		vanDam2026wolam
90	Wolam	ninety	au ləkau	au + l ə k au	ten2 nine 	10 9 	wola1254	au + l ə k au		vanDam2026wolam
91	Wolam	ninety one	au ləkau kə tak	au + l ə k au + k ə + t a k	ten2 nine attr one	10 9 99 1	wola1254	au + l ə k au + k ə + t a k		vanDam2026wolam
92	Wolam	ninety two	au ləkau kə ləmeʔ	au + l ə k au + k ə + l ə m e ʔ	ten2 nine attr two2	10 9 99 2	wola1254	au + l ə k au + k ə + l ə m e ʔ		vanDam2026wolam
93	Wolam	ninety three	au ləkau kə hameʔ	au + l ə k au + k ə + h a m e ʔ	ten2 nine attr three2	10 9 99 3	wola1254	au + l ə k au + k ə + h a m e ʔ		vanDam2026wolam
94	Wolam	ninety four	au ləkau kə pəle	au + l ə k au + k ə + p ə l e	ten2 nine attr four	10 9 99 4	wola1254	au + l ə k au + k ə + p ə l e		vanDam2026wolam
95	Wolam	ninety five	au ləkau kə pəŋu	au + l ə k au + k ə + p ə ŋ u	ten2 nine attr five	10 9 99 5	wola1254	au + l ə k au + k ə + p ə ŋ u		vanDam2026wolam
96	Wolam	ninety six	au ləkau kə ajuk	au + l ə k au + k ə + a j u k	ten2 nine attr six	10 9 99 6	wola1254	au + l ə k au + k ə + a j u k		vanDam2026wolam
97	Wolam	ninety seven	au ləkau kə tʃiɲat	au + l ə k au + k ə + tʃ i ɲ a t	ten2 nine attr seven	10 9 99 7	wola1254	au + l ə k au + k ə + tʃ i ɲ a t		vanDam2026wolam
98	Wolam	ninety eight	au ləkau kə pəti	au + l ə k au + k ə + p ə t i	ten2 nine attr eight	10 9 99 8	wola1254	au + l ə k au + k ə + p ə t i		vanDam2026wolam
99	Wolam	ninety nine	au ləkau kə ləkau	au + l ə k au + k ə + l ə k au	ten2 nine attr nine	10 9 99 9	wola1254	au + l ə k au + k ə + l ə k au		vanDam2026wolam
