ID	DOCULECT	CONCEPT	NUMBER	DEVANAGARI_NUMBER	VALUE_	FORM	ORDINAL_NUMBER	TOKENS	MORPHEMES	COGIDS	ALIGNMENT	SOURCE
31	Sanskrit	thirty five	35	३५	पञ्चत्रिंशत्	pañcatriṁśat	पञ्चत्रिंश (pañcatriṁśa)	p a ɲ tʃ a + t r ĩ/i + ʃ a t -/i	five three ty	5 3 11	p a ɲ tʃ a + t r ĩ/i + ʃ a t -/i	Stenzler1915
32	Sanskrit	twenty five	25	२५	पञ्चविंशति	pañcaviṁśati	पञ्चविंश (pañcaviṁśa)	p a ɲ tʃ a + -/d v ĩ/i + ʃ a t i	five two ty	5 2 11	p a ɲ tʃ a + -/d v ĩ/i + ʃ a t i	Stenzler1915
33	Sanskrit	twenty six	26	२६	षड्विंशति	ṣaḍviṁśati	षड्विंश (ṣaḍviṁśa)	ʂ a ɖ/ʂ + -/d v ĩ/i + ʃ a t i	six two ty	6 2 11	ʂ a ɖ/ʂ + -/d v ĩ/i + ʃ a t i	Stenzler1915
34	Sanskrit	seven	7	७	सप्त	sapta	सप्तम (saptama)	s a p t a	seven	7	s a p t a	Stenzler1915
35	Sanskrit	seventeen	17	१७	सप्तदश	saptadaśa	सप्तदश (saptadaśa)	s a p t a + d a ʃ a	seven ten	7 10	s a p t a + d a ʃ a	Stenzler1915
36	Sanskrit	thirty seven	37	३७	सप्तत्रिंशत्	saptatriṁśat	सप्तत्रिंश (saptatriṁśa)	s a p t a + t r ĩ/i + ʃ a t -/i	seven three ty	7 3 11	s a p t a + t r ĩ/i + ʃ a t -/i	Stenzler1915
37	Sanskrit	twenty seven	27	२७	सप्तविंशति	saptaviṁśati	सप्तविंश (saptaviṁśa)	s a p t a + -/d v ĩ/i + ʃ a t i	seven two ty	7 2 11	s a p t a + -/d v ĩ/i + ʃ a t i	Stenzler1915
38	Sanskrit	six	6	६	षष्	ṣaṣ	षष्ठ (ṣaṣṭha)	ʂ a ʂ	six	6	ʂ a ʂ	Stenzler1915
39	Sanskrit	thirty six	36	३६	षट्त्रिंशत्	ṣaṭtriṁśat	षट्त्रिंश (ṣaṭtriṁśa)	ʂ a ʈ/ʂ + t r ĩ/i + ʃ a t -/i	six three ty	6 3 11	ʂ a ʈ/ʂ + t r ĩ/i + ʃ a t -/i	Stenzler1915
40	Sanskrit	sixteen	16	१६	षोडश	ṣoḍaśa	षोडश (ṣoḍaśa)	ʂ o/a -/ʂ + ɖ/d a ʃ a	six ten	6 10	ʂ o/a -/ʂ + ɖ/d a ʃ a	Stenzler1915
42	Sanskrit	thirty three	33	३३	त्रयस्त्रिंशत्	trayastriṁśat	त्रयस्त्रिंश (trayastriṁśa)	t r a/- j/i a/- s/- + t r ĩ/i + ʃ a t -/i	three three ty	3 3 11	t r a/- j/i a/- s/- + t r ĩ/i + ʃ a t -/i	Stenzler1915
43	Sanskrit	thirteen	13	१३	त्रयोदश	trayodaśa	त्रयोदश (trayodaśa)	t r a/- j/i o/- + d a ʃ a	three ten	3 10	t r a/- j/i o/- + d a ʃ a	Stenzler1915
44	Sanskrit	twenty three	23	२३	त्रयोविंशति	trayoviṁśati	त्रयोविंश (trayoviṁśa)	t r a/- j/i o/- + -/d v ĩ/i + ʃ a t i	three two ty	3 2 11	t r a/- j/i o/- + -/d v ĩ/i + ʃ a t i	Stenzler1915
45	Sanskrit	three	3	३	त्रि	tri	तृतीय (tṛtīya)	t r i	three	3	t r i	Stenzler1915
46	Sanskrit	thirty	30	३०	त्रिंशति	triṁśati	त्रिंश (triṁśa)	t r ĩ/i + ʃ a t i	three ty	3 11	t r ĩ/i + ʃ a t i	Stenzler1915
50	Sanskrit	twenty	20	२०	विंशति	viṁśati	विंश (viṁśa)	-/d v ĩ/i + ʃ a t i	two ty	2 11	-/d v ĩ/i + ʃ a t i	Stenzler1915
51	Sanskrit	forty one	41	४१	एकचत्वारिंशत्	ekacatvāriṁśat		e k aː/a n/- + tʃ a t v/u aː/- r ĩ/- + ʃ a t i	one four ty	1 4 11	e k aː/a n/- + tʃ a t v/u aː/- r ĩ/- + ʃ a t i	deshpande1997samskrta
52	Sanskrit	forty two	42	४२	द्वाचत्वारिंशत्	dvācatvāriṁśat		d v aː/i + tʃ a t v/u aː/- r ĩ/- + ʃ a t i	two four ty	2 4 11	d v aː/i + tʃ a t v/u aː/- r ĩ/- + ʃ a t i	deshpande1997samskrta
53	Sanskrit	forty three	43	४३	त्र्यश्चत्वारिंशत्	tryaścatvāriṁśat		t r - j/i a/- ʃ/- + tʃ a t v/u aː/- r ĩ/- + ʃ a t i	three four ty	3 4 11	t r - j/i a/- ʃ /- + tʃ a t v/u aː/- r ĩ/- + ʃ a t i	deshpande1997samskrta
54	Sanskrit	forty four	44	४४	चतुश्चत्वारिंशत्	catuścatvāriṁśat		tʃ a t u ʃ/r + tʃ a t v/u aː/- r ĩ/- + ʃ a t i	four four ty	4 4 11	tʃ a t u + tʃ a t v/u aː/- r ĩ/- + ʃ a t i	deshpande1997samskrta
55	Sanskrit	forty five	45	४५	पञ्चचत्वारिंशत्	pañcacatvāriṁśat		p a ɲ tʃ a + tʃ a t v/u aː/- r ĩ/- + ʃ a t i	five four ty	5 4 11	p a ɲ tʃ a + tʃ a t v/u aː/- r ĩ/- + ʃ a t i	deshpande1997samskrta
56	Sanskrit	forty six	46	४६	षट्चत्वारिंशत्	ṣaṭcatvāriṁśat		ʂ a ʈ/ʂ + tʃ a t v/u aː/- r ĩ/- + ʃ a t i	six four ty	6 4 11	ʂ a ʈ/ʂ + tʃ a t v/u aː/- r ĩ/- + ʃ a t i	deshpande1997samskrta
57	Sanskrit	forty seven	47	४७	सप्तचत्वारिंशत्	saptacatvāriṁśat		s a p t a + tʃ a t v/u aː/- r ĩ/- + ʃ a t i	seven four ty	7 4 11	s a p t a + tʃ a t v/u aː/- r ĩ/- + ʃ a t i	deshpande1997samskrta
58	Sanskrit	forty eight	48	४८	अष्टाचत्वारिंशत्	aṣṭācatvāriṁśat		a ʂ ʈ aː/a + tʃ a t v/u aː/- r ĩ/- + ʃ a t i	eight four ty	8 4 11	a ʂ ʈ aː/a + tʃ a t v/u aː/- r ĩ/- + ʃ a t i	deshpande1997samskrta
59	Sanskrit	forty nine	49	४९	नवचत्वारिंशत्	navacatvāriṁśat		n a v a + tʃ a t v/u aː/- r ĩ/- + ʃ a t i	nine four ty	9 4 11	n a v a + tʃ a t v/u aː/- r ĩ/- + ʃ a t i	deshpande1997samskrta
