ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	COGIDS	NOTE	SOURCE
66	Finnish	sixty six	kuusikymmentäkuusi	kuːsikymːentækuːsi	k uː s i + k y mː e n + t æ + k uː s i	six ten part_sg six	6 10 13 6		Finnish2018Karlsson
67	Finnish	sixty seven	kuusikymmentäseitsemän	kuːsikymːentæseitsemæn	k uː s i + k y mː e n + t æ + s ei t s e m æ n	six ten part_sg seven	6 10 13 7		Finnish2018Karlsson
68	Finnish	sixty eight	kuusikymmentäkahdeksan	kuːsikymːentækɑhdeksɑn	k uː s i + k y mː e n + t æ + k ɑ h d + e k s ɑ n	six ten part_sg two2 ?	6 10 13 8 99		Finnish2018Karlsson
69	Finnish	sixty nine	kuusikymmentäyhdeksän	kuːsikymːentæyhdeksæn	k uː s i + k y mː e n + t æ + y h d + e k s æ/ɑ n	six ten part_sg one2 ?	6 10 13 9 99		Finnish2018Karlsson
70	Finnish	seventy	seitsemänkymmentä	seitsemænkymːentæ	s ei t s e m æ n + k y mː e n + t æ	seven ten part_sg	7 10 13		Finnish2018Karlsson
71	Finnish	seventy one	seitsemänkymmentäyksi	seitsemænkymːentæyksi	s ei t s e m æ n + k y mː e n + t æ + y k s i	seven ten part_sg one	7 10 13 1		Finnish2018Karlsson
72	Finnish	seventy two	seitsemänkymmentäkaksi	seitsemænkymːentækɑksi	s ei t s e m æ n + k y mː e n + t æ + k ɑ k s i	seven ten part_sg two	7 10 13 2		Finnish2018Karlsson
73	Finnish	seventy three	seitsemänkymmentäkolme	seitsemænkymːentækolme	s ei t s e m æ n + k y mː e n + t æ + k o l m e	seven ten part_sg three	7 10 13 3		Finnish2018Karlsson
74	Finnish	seventy four	seitsemänkymmentäneljä	seitsemænkymːentæneljæ	s ei t s e m æ n + k y mː e n + t æ + n e l j æ	seven ten part_sg four	7 10 13 4		Finnish2018Karlsson
75	Finnish	seventy five	seitsemänkymmentäviisi	seitsemænkymːentæʋiːsi	s ei t s e m æ n + k y mː e n + t æ + ʋ iː s i	seven ten part_sg five	7 10 13 5		Finnish2018Karlsson
76	Finnish	seventy six	seitsemänkymmentäkuusi	seitsemænkymːentækuːsi	s ei t s e m æ n + k y mː e n + t æ + k uː s i	seven ten part_sg six	7 10 13 6		Finnish2018Karlsson
77	Finnish	seventy seven	seitsemänkymmentäseitsemän	seitsemænkymːentæseitsemæn	s ei t s e m æ n + k y mː e n + t æ + s ei t s e m æ n	seven ten part_sg seven	7 10 13 7		Finnish2018Karlsson
78	Finnish	seventy eight	seitsemänkymmentäkahdeksan	seitsemænkymːentækɑhdeksɑn	s ei t s e m æ n + k y mː e n + t æ + k ɑ h d + e k s ɑ n	seven ten part_sg two2 ?	7 10 13 8 99		Finnish2018Karlsson
79	Finnish	seventy nine	seitsemänkymmentäyhdeksän	seitsemænkymːentæyhdeksæn	s ei t s e m æ n + k y mː e n + t æ + y h d + e k s æ/ɑ n	seven ten part_sg one2 ?	7 10 13 9 99		Finnish2018Karlsson
80	Finnish	eighty	kahdeksankymmentä	kɑhdeksɑnkymːentæ	k ɑ h d + e k s ɑ n + k y mː e n + t æ	two2 ? ten part_sg	8 99 10 13		Finnish2018Karlsson
81	Finnish	eighty one	kahdeksankymmentäyksi	kɑhdeksɑnkymːentæyksi	k ɑ h d + e k s ɑ n + k y mː e n + t æ + y k s i	two2 ? ten part_sg one	8 99 10 13 1		Finnish2018Karlsson
82	Finnish	eighty two	kahdeksankymmentäkaksi	kɑhdeksɑnkymːentækɑksi	k ɑ h d + e k s ɑ n + k y mː e n + t æ + k ɑ k s i	two2 ? ten part_sg two	8 99 10 13 2		Finnish2018Karlsson
83	Finnish	eighty three	kahdeksankymmentäkolme	kɑhdeksɑnkymːentækolme	k ɑ h d + e k s ɑ n + k y mː e n + t æ + k o l m e	two2 ? ten part_sg three	8 99 10 13 3		Finnish2018Karlsson
84	Finnish	eighty four	kahdeksankymmentäneljä	kɑhdeksɑnkymːentæneljæ	k ɑ h d + e k s ɑ n + k y mː e n + t æ + n e l j æ	two2 ? ten part_sg four	8 99 10 13 4		Finnish2018Karlsson
85	Finnish	eighty five	kahdeksankymmentäviisi	kɑhdeksɑnkymːentæʋiːsi	k ɑ h d + e k s ɑ n + k y mː e n + t æ + ʋ iː s i	two2 ? ten part_sg five	8 99 10 13 5		Finnish2018Karlsson
86	Finnish	eighty six	kahdeksankymmentäkuusi	kɑhdeksɑnkymːentækuːsi	k ɑ h d + e k s ɑ n + k y mː e n + t æ + k uː s i	two2 ? ten part_sg six	8 99 10 13 6		Finnish2018Karlsson
87	Finnish	eighty seven	kahdeksankymmentäseitsemän	kɑhdeksɑnkymːentæseitsemæn	k ɑ h d + e k s ɑ n + k y mː e n + t æ + s ei t s e m æ n	two2 ? ten part_sg seven	8 99 10 13 7		Finnish2018Karlsson
88	Finnish	eighty eight	kahdeksankymmentäkahdeksan	kɑhdeksɑnkymːentækɑhdeksɑn	k ɑ h d + e k s ɑ n + k y mː e n + t æ + k ɑ h d + e k s ɑ n	two2 ? ten part_sg two2 ?	8 99 10 13 8 99		Finnish2018Karlsson
89	Finnish	eighty nine	kahdeksankymmentäyhdeksän	kɑhdeksɑnkymːentæyhdeksæn	k ɑ h d + e k s ɑ n + k y mː e n + t æ + y h d + e k s æ/ɑ n	two2 ? ten part_sg one2 ?	8 99 10 13 9 99		Finnish2018Karlsson
90	Finnish	ninety	yhdeksänkymmentä	yhdeksænkymːentæ	y h d + e k s æ/ɑ n + k y mː e n + t æ	one2 ? ten part_sg	9 99 10 13		Finnish2018Karlsson
91	Finnish	ninety one	yhdeksänkymmentäyksi	yhdeksænkymːentæyksi	y h d + e k s æ/ɑ n + k y mː e n + t æ + y k s i	one2 ? ten part_sg one	9 99 10 13 1		Finnish2018Karlsson
92	Finnish	ninety two	yhdeksänkymmentäkaksi	yhdeksænkymːentækɑksi	y h d + e k s æ/ɑ n + k y mː e n + t æ + k ɑ k s i	one2 ? ten part_sg two	9 99 10 13 2		Finnish2018Karlsson
93	Finnish	ninety three	yhdeksänkymmentäkolme	yhdeksænkymːentækolme	y h d + e k s æ/ɑ n + k y mː e n + t æ + k o l m e	one2 ? ten part_sg three	9 99 10 13 3		Finnish2018Karlsson
94	Finnish	ninety four	yhdeksänkymmentäneljä	yhdeksænkymːentæneljæ	y h d + e k s æ/ɑ n + k y mː e n + t æ + n e l j æ	one2 ? ten part_sg four	9 99 10 13 4		Finnish2018Karlsson
95	Finnish	ninety five	yhdeksänkymmentäviisi	yhdeksænkymːentæʋiːsi	y h d + e k s æ/ɑ n + k y mː e n + t æ + ʋ iː s i	one2 ? ten part_sg five	9 99 10 13 5		Finnish2018Karlsson
96	Finnish	ninety six	yhdeksänkymmentäkuusi	yhdeksænkymːentækuːsi	y h d + e k s æ/ɑ n + k y mː e n + t æ + k uː s i	one2 ? ten part_sg six	9 99 10 13 6		Finnish2018Karlsson
97	Finnish	ninety seven	yhdeksänkymmentäseitsemän	yhdeksænkymːentæseitsemæn	y h d + e k s æ/ɑ n + k y mː e n + t æ + s ei t s e m æ n	one2 ? ten part_sg seven	9 99 10 13 7		Finnish2018Karlsson
98	Finnish	ninety eight	yhdeksänkymmentäkahdeksan	yhdeksænkymːentækɑhdeksɑn	y h d + e k s æ/ɑ n + k y mː e n + t æ + k ɑ h d + e k s ɑ n	one2 ? ten part_sg two2 ?	9 99 10 13 8 99		Finnish2018Karlsson
99	Finnish	ninety nine	yhdeksänkymmentäyhdeksän	yhdeksænkymːentæyhdeksæn	y h d + e k s æ/ɑ n + k y mː e n + t æ + y h d + e k s æ/ɑ n	one2 ? ten part_sg one2 ?	9 99 10 13 9 99		Finnish2018Karlsson
