ID	DOCULECT	CONCEPT	FORM	TOKENS	TONE	ALIGNMENT	COGIDS	MORPHEMES	NOTE
39	Lamjung_Yolmo	thirty nine	kháldʑi tɕúrku	kʰ a l + dʑ/tɕ i/iː + tɕ u r/p + k u	h _ h _	kʰ a l + dʑ/tɕ i/iː + tɕ u r/p + k u	2 7 14 10	twenty one ten nine	
60	Lamjung_Yolmo	thirty nine	súmdʑu kù	s u m + dʑ/tɕ u -/p + k u	h _ l	s u m + dʑ/tɕ u -/p + k u	6 14 10	three ten nine	
40	Lamjung_Yolmo	forty	khál ɲíi	kʰ a l + ɲ iː	h h		2 8	twenty two	
61	Lamjung_Yolmo	forty	ɕíptɕu	ɕ i p + tɕ u -/p	h _	ɕ i p + tɕ u -/p	13 14	four ten	
#@highlight=TOKENS|ALIGNMENT
#@sampa=TOKENS
#@css=menu:show|database:hide
#@basics=ALIGNMENT|COGIDS|CONCEPT|DOCULECT|FORM|MORPHEMES|NOTE|TOKENS
#@_selected_doculects=Lamjung_Yolmo
#@_selected_concepts=one|two|three|four|five|six|seven|eight|nine|ten|eleven|twelve|thirteen|fourteen|fifteen|sixteen|seventeen|eighteen|nineteen|twenty|twenty one|twenty two|twenty three|twenty four|twenty five|twenty six|twenty seven|twenty eight|twenty nine|thirty|thirty one|thirty two|thirty three|thirty four|thirty five|thirty six|thirty seven|thirty eight|thirty nine|forty
#@sorted_taxa=Lamjung_Yolmo
#@sorted_concepts=one|two|three|four|five|six|seven|eight|nine|ten|eleven|twelve|thirteen|fourteen|fifteen|sixteen|seventeen|eighteen|nineteen|twenty|twenty one|twenty two|twenty three|twenty four|twenty five|twenty six|twenty seven|twenty eight|twenty nine|thirty|thirty one|thirty two|thirty three|thirty four|thirty five|thirty six|thirty seven|thirty eight|thirty nine|forty
#@display=filedisplay|glosses
#@missing_marker=Ø
#@separator=	
#@gap_marker=-
#@formatter=false
#@root_formatter=COGIDS
#@note_formatter=undefined
#@pattern_formatter=undefined
#@publish=undefined
#@_almcol=ALIGNMENT
#@filename=lam.tsv
#@navbar=true
#@_morphology_mode=partial
