ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Morphemes,Cognates,Surface_Form,Underlying_Form,Tokens
Latin-Chan-2019-133-14-14-1,,Latin,Chan-2019-133-14-14,kʷatːʊɔrdɛkɪ̃,kʷatːʊɔrdɛkɪ̃,kʷ a tː ʊ ɔ r + d ɛ k ɪ̃,None,Dellert2020;Rubenbauer1995,,,,,four ten,9 8,kʷ a tː ʊ ɔ r + d ɛ k ɪ̃,kʷ a tː ʊ ɔ r + d ɛ k ɛ m,kʷ a tː ʊ ɔ r + d ɛ k ɪ̃/ɛ -/m
Latin-Chan-2019-133-15-15-1,,Latin,Chan-2019-133-15-15,kʷiːndɛkɪ̃,kʷiːndɛkɪ̃,kʷ iː n + d ɛ k ɪ̃,None,Dellert2020;Rubenbauer1995,,,,,five ten,3 8,kʷ iː n + d ɛ k ɪ̃,kʷ iː ŋ kʷ ɛ + d ɛ k ɛ m,kʷ iː n/ŋ -/kʷ -/ɛ + d ɛ k ɪ̃/ɛ -/m
Latin-Chan-2019-133-16-16-1,,Latin,Chan-2019-133-16-16,seːdɛkɪ̃,seːdɛkɪ̃,s eː + d ɛ k ɪ̃,None,Dellert2020;Rubenbauer1995,,,,,six ten,12 8,s eː + d ɛ k ɪ̃,s ɛ k s + d ɛ k ɛ m,s eː/ɛ -/k -/s + d ɛ k ɪ̃/ɛ -/m
Latin-Chan-2019-133-17-17-1,,Latin,Chan-2019-133-17-17,sɛptɛndɛkɪ̃,sɛptɛndɛkɪ̃,s ɛ p t ɛ n + d ɛ k ɪ̃,None,Dellert2020;Rubenbauer1995,,,,,seven ten,13 8,s ɛ p t ɛ n + d ɛ k ɪ̃,s ɛ p t ɛ m + d ɛ k ɛ m,s ɛ p t ɛ n/m + d ɛ k ɪ̃/ɛ -/m
Latin-Chan-2019-133-18-18-1,,Latin,Chan-2019-133-18-18,dʊodeːwiːɡɪntiː,dʊodeːwiːɡɪntiː,d ʊ ɔ + d eː + w iː g ɪ n t iː,None,Dellert2020;Rubenbauer1995,,,,,two from twenty,4 10 6,d ʊ ɔ + d eː + w iː g ɪ n t iː,d ʊ ɔ + d eː + w iː g ɪ n t iː,d ʊ ɔ + d eː + w iː g ɪ n t iː
Latin-Chan-2019-133-19-19-1,,Latin,Chan-2019-133-19-19,ʊndeːwiːɡɪntiː,ʊndeːwiːɡɪntiː,ʊ n + d eː + w iː g ɪ n t iː,None,Dellert2020;Rubenbauer1995,,,,,one from twenty,2 10 6,ʊ n + d eː + w iː g ɪ n t iː,uː n + d eː + w iː g ɪ n t iː,ʊ/uː n + d eː + w iː g ɪ n t iː
Latin-Chan-2019-133-20-20-1,,Latin,Chan-2019-133-20-20,wiːɡɪntiː,wiːɡɪntiː,w iː g ɪ n t iː,None,Dellert2020;Rubenbauer1995,,,,,twenty,6,w iː g ɪ n t iː,w iː g ɪ n t iː,w iː g ɪ n t iː
Latin-Chan-2019-133-21-21-1,,Latin,Chan-2019-133-21-21,wiːɡɪntiː_uːnʊs,wiːɡɪntiː_uːnʊs,w iː g ɪ n t iː + uː n + ʊ s,None,Dellert2020;Rubenbauer1995,,,,,twenty one nom.m.sg_suff,6 2 11,w iː g ɪ n t iː + uː n + ʊ s,w iː g ɪ n t iː + uː n + ʊ s,w iː g ɪ n t iː + uː n + ʊ s
Latin-Chan-2019-133-22-22-1,,Latin,Chan-2019-133-22-22,wiːɡɪntiː_dʊɔ,wiːɡɪntiː_dʊɔ,w iː g ɪ n t iː + d ʊ ɔ,None,Dellert2020;Rubenbauer1995,,,,,twenty two,6 4,w iː g ɪ n t iː + d ʊ ɔ,w iː g ɪ n t iː + d ʊ ɔ,w iː g ɪ n t iː + d ʊ ɔ
Latin-Chan-2019-133-23-23-1,,Latin,Chan-2019-133-23-23,wiːɡɪntiː_treːs,wiːɡɪntiː_treːs,w iː g ɪ n t iː + t r eː s,None,Dellert2020;Rubenbauer1995,,,,,twenty three,6 1,w iː g ɪ n t iː + t r eː s,w iː g ɪ n t iː + t r eː s,w iː g ɪ n t iː + t r eː s
Latin-Chan-2019-133-24-24-1,,Latin,Chan-2019-133-24-24,wiːɡɪntiː_kʷatːʊɔr,wiːɡɪntiː_kʷatːʊɔr,w iː g ɪ n t iː + kʷ a tː ʊ ɔ r,None,Dellert2020;Rubenbauer1995,,,,,twenty four,6 9,w iː g ɪ n t iː + kʷ a tː ʊ ɔ r,w iː g ɪ n t iː + kʷ a tː ʊ ɔ r,w iː g ɪ n t iː + kʷ a tː ʊ ɔ r
Latin-Chan-2019-133-25-25-1,,Latin,Chan-2019-133-25-25,wiːɡɪntiː_kʷiːŋkʷɛ,wiːɡɪntiː_kʷiːŋkʷɛ,w iː g ɪ n t iː + kʷ iː ŋ kʷ ɛ,None,Dellert2020;Rubenbauer1995,,,,,twenty five,6 3,w iː g ɪ n t iː + kʷ iː ŋ kʷ ɛ,w iː g ɪ n t iː + kʷ iː ŋ kʷ ɛ,w iː g ɪ n t iː + kʷ iː ŋ kʷ ɛ
Latin-Chan-2019-133-26-26-1,,Latin,Chan-2019-133-26-26,wiːɡɪntiː_sɛks,wiːɡɪntiː_sɛks,w iː g ɪ n t iː + s ɛ k s,None,Dellert2020;Rubenbauer1995,,,,,twenty six,6 12,w iː g ɪ n t iː + s ɛ k s,w iː g ɪ n t iː + s ɛ k s,w iː g ɪ n t iː + s ɛ k s
Latin-Chan-2019-133-27-27-1,,Latin,Chan-2019-133-27-27,wiːɡɪntiː_sɛptɛ̃,wiːɡɪntiː_sɛptɛ̃,w iː g ɪ n t iː + s ɛ p t ɛ̃,None,Dellert2020;Rubenbauer1995,,,,,twenty seven,6 13,w iː g ɪ n t iː + s ɛ p t ɛ̃,w iː g ɪ n t iː + s ɛ p t ɛ m,w iː g ɪ n t iː + s ɛ p t ɛ̃/ɛ -/m
Latin-Chan-2019-133-28-28-1,,Latin,Chan-2019-133-28-28,dʊodeːtriːɡɪnta,dʊodeːtriːɡɪnta,d ʊ ɔ + d eː + t r iː + g ɪ n t aː,None,Dellert2020;Rubenbauer1995,,,,,two from three tens_suff,4 10 1 5,d ʊ ɔ + d eː + t r iː + g ɪ n t aː,d ʊ ɔ + d eː + t r eː s + g ɪ n t aː,d ʊ ɔ + d eː + t r iː/eː -/s + g ɪ n t aː
Latin-Chan-2019-133-29-29-1,,Latin,Chan-2019-133-29-29,ʊndeːtriːɡɪnta,ʊndeːtriːɡɪnta,ʊ n + d eː + t r iː + g ɪ n t aː,None,Dellert2020;Rubenbauer1995,,,,,one from three tens_suff,2 10 1 5,ʊ n + d eː + t r iː + g ɪ n t aː,uː n + d eː + t r eː s + g ɪ n t aː,ʊ/uː n + d eː + t r iː/eː -/s + g ɪ n t aː
Latin-Chan-2019-133-30-30-1,,Latin,Chan-2019-133-30-30,triːɡɪntaː,triːɡɪntaː,t r iː + g ɪ n t aː,None,Dellert2020;Rubenbauer1995,,,,,three tens_suff,1 5,t r iː + g ɪ n t aː,t r eː s + g ɪ n t aː,t r iː/eː -/s + g ɪ n t aː
Latin-Chan-2019-133-31-31-1,,Latin,Chan-2019-133-31-31,triːɡɪntaː_uːnʊs,triːɡɪntaː_uːnʊs,t r iː + g ɪ n t aː + uː n + ʊ s,None,Dellert2020;Rubenbauer1995,,,,,three tens_suff one nom.m.sg_suff,1 5 2 11,t r iː + g ɪ n t aː + uː n + ʊ s,t r eː s + g ɪ n t aː + uː n + ʊ s,t r iː/eː -/s + g ɪ n t aː + uː n + ʊ s
Latin-Chan-2019-133-32-32-1,,Latin,Chan-2019-133-32-32,triːɡɪntaː_dʊɔ,triːɡɪntaː_dʊɔ,t r iː + g ɪ n t aː + d ʊ ɔ,None,Dellert2020;Rubenbauer1995,,,,,three tens_suff two,1 5 4,t r iː + g ɪ n t aː + d ʊ ɔ,t r eː s + g ɪ n t aː + d ʊ ɔ,t r iː/eː -/s + g ɪ n t aː + d ʊ ɔ
Latin-Chan-2019-133-33-33-1,,Latin,Chan-2019-133-33-33,triːɡɪntaː_treːs,triːɡɪntaː_treːs,t r iː + g ɪ n t aː + t r eː s,None,Dellert2020;Rubenbauer1995,,,,,three tens_suff three,1 5 1,t r iː + g ɪ n t aː + t r eː s,t r eː s + g ɪ n t aː + t r eː s,t r iː/eː -/s + g ɪ n t aː + t r eː s
Latin-Chan-2019-133-34-34-1,,Latin,Chan-2019-133-34-34,triːɡɪntaː_kʷatːʊɔr,triːɡɪntaː_kʷatːʊɔr,t r iː + g ɪ n t aː + kʷ a tː ʊ ɔ r,None,Dellert2020;Rubenbauer1995,,,,,three tens_suff four,1 5 9,t r iː + g ɪ n t aː + kʷ a tː ʊ ɔ r,t r eː s + g ɪ n t aː + kʷ a tː ʊ ɔ r,t r iː/eː -/s + g ɪ n t aː + kʷ a tː ʊ ɔ r
Latin-Chan-2019-133-35-35-1,,Latin,Chan-2019-133-35-35,triːɡɪntaː_kʷiːŋkʷɛ,triːɡɪntaː_kʷiːŋkʷɛ,t r iː + g ɪ n t aː + kʷ iː ŋ kʷ ɛ,None,Dellert2020;Rubenbauer1995,,,,,three tens_suff five,1 5 3,t r iː + g ɪ n t aː + kʷ iː ŋ kʷ ɛ,t r eː s + g ɪ n t aː + kʷ iː ŋ kʷ ɛ,t r iː/eː -/s + g ɪ n t aː + kʷ iː ŋ kʷ ɛ
Latin-Chan-2019-133-36-36-1,,Latin,Chan-2019-133-36-36,triːɡɪntaː_sɛks,triːɡɪntaː_sɛks,t r iː + g ɪ n t aː + s ɛ k s,None,Dellert2020;Rubenbauer1995,,,,,three tens_suff six,1 5 12,t r iː + g ɪ n t aː + s ɛ k s,t r eː s + g ɪ n t aː + s ɛ k s,t r iː/eː -/s + g ɪ n t aː + s ɛ k s
Latin-Chan-2019-133-37-37-1,,Latin,Chan-2019-133-37-37,triːɡɪntaː_sɛptɛ̃,triːɡɪntaː_sɛptɛ̃,t r iː + g ɪ n t aː + s ɛ p t ɛ̃,None,Dellert2020;Rubenbauer1995,,,,,three tens_suff seven,1 5 13,t r iː + g ɪ n t aː + s ɛ p t ɛ̃,t r eː s + g ɪ n t aː + s ɛ p t ɛ m,t r iː/eː -/s + g ɪ n t aː + s ɛ p t ɛ̃/ɛ -/m
Latin-Chan-2019-133-38-38-1,,Latin,Chan-2019-133-38-38,dʊodeːkʷadraːɡɪntaː,dʊodeːkʷadraːɡɪntaː,d ʊ ɔ + d eː + kʷ a d r + aː + g ɪ n t aː,None,Dellert2020;Rubenbauer1995,,,,,two from four a-epenthesis tens_suff,4 10 9 14 5,d ʊ ɔ + d eː + kʷ a d r + aː + g ɪ n t aː,d ʊ ɔ + d eː + kʷ a tː ʊ ɔ r + aː + g ɪ n t aː,d ʊ ɔ + d eː + kʷ a d/tː -/ʊ -/ɔ r + aː + g ɪ n t aː
Latin-Chan-2019-133-39-39-1,,Latin,Chan-2019-133-39-39,ʊndeːkʷadraːɡɪntaː,ʊndeːkʷadraːɡɪntaː,ʊ n + d eː + kʷ a d r + aː + g ɪ n t aː,None,Dellert2020;Rubenbauer1995,,,,,one from four a-epenthesis tens_suff,2 10 9 14 5,ʊ n + d eː + kʷ a d r + aː + g ɪ n t aː,uː n + d eː + kʷ a tː ʊ ɔ r + aː + g ɪ n t aː,ʊ/uː n + d eː + kʷ a d/tː -/ʊ -/ɔ r + aː + g ɪ n t aː
Latin-Chan-2019-133-40-40-1,,Latin,Chan-2019-133-40-40,kʷadraːɡɪntaː,kʷadraːɡɪntaː,kʷ a d r + aː + g ɪ n t aː,None,Dellert2020;Rubenbauer1995,,,,,four a-epenthesis tens_suff,9 14 5,kʷ a d r + aː + g ɪ n t aː,kʷ a tː ʊ ɔ r + aː + g ɪ n t aː,kʷ a d/tː -/ʊ -/ɔ r + aː + g ɪ n t aː
Makyam_Khalai-Chan-2019-133-1-1-1,,Makyam_Khalai,Chan-2019-133-1-1,kʰuat⁴⁴,kʰuat⁴⁴,kʰ ua t ⁴⁴,,Makyam,,,,,one,1,kʰ ua t ⁴⁴,kʰ ua t ⁴⁴,kʰ ua t ⁴⁴
Makyam_Khalai-Chan-2019-133-2-2-1,,Makyam_Khalai,Chan-2019-133-2-2,nat⁴⁴,nat⁴⁴,n a t ⁴⁴,,Makyam,,,,,two,2,n a t ⁴⁴,n a t ⁴⁴,n a t ⁴⁴
Makyam_Khalai-Chan-2019-133-3-3-1,,Makyam_Khalai,Chan-2019-133-3-3,θam³³,θam³³,θ a m ³³,,Makyam,,,,,three,3,θ a m ³³,θ a m ³³,θ a m ³³
Makyam_Khalai-Chan-2019-133-4-4-1,,Makyam_Khalai,Chan-2019-133-4-4,pʰə³¹ li³³,pʰə³¹ li³³,pʰ ə ³¹ + l i ³³,,Makyam,,,,,PFX1 four,50 4,pʰ ə ³¹ + l i ³³,pʰ ə ³¹ + l i ³³,pʰ ə ³¹ + l i ³³
Makyam_Khalai-Chan-2019-133-5-5-1,,Makyam_Khalai,Chan-2019-133-5-5,pʰə³¹ ŋa³³,pʰə³¹ ŋa³³,pʰ ə ³¹ + ŋ a ³³,,Makyam,,,,,PFX1 five,50 5,pʰ ə ³¹ + ŋ a ³³,pʰ ə ³¹ + ŋ a ³³,pʰ ə ³¹ + ŋ a ³³
Makyam_Khalai-Chan-2019-133-6-6-1,,Makyam_Khalai,Chan-2019-133-6-6,kʰə³¹ zɔk³¹,kʰə³¹ zɔk³¹,kʰ ə ³¹ + z ɔ k ³¹,,Makyam,,,,,PFX2 six,51 6,kʰ ə ³¹ + z ɔ k ³¹,kʰ ə ³¹ + z ɔ k ³¹,kʰ ə ³¹ + z ɔ k ³¹
Makyam_Khalai-Chan-2019-133-7-7-1,,Makyam_Khalai,Chan-2019-133-7-7,kʰə³¹ ɲɛk³³,kʰə³¹ ɲɛk³³,kʰ ə ³¹ + ɲ ɛ k ³³,,Makyam,,,,,PFX2 seven,51 7,kʰ ə ³¹ + ɲ ɛ k ³³,kʰ ə ³¹ + ɲ ɛ k ³³,kʰ ə ³¹ + ɲ ɛ k ³³
Makyam_Khalai-Chan-2019-133-8-8-1,,Makyam_Khalai,Chan-2019-133-8-8,tʰə³¹ wat³³,tʰə³¹ wat³³,tʰ ə ³¹ + w a t ³³,,Makyam,,,,,PFX3 eight,52 8,tʰ ə ³¹ + w a t ³³,tʰ ə ³¹ + w a t ³³,tʰ ə ³¹ + w a t ³³
Makyam_Khalai-Chan-2019-133-9-9-1,,Makyam_Khalai,Chan-2019-133-9-9,kʰuan⁴⁴ pɔŋ³¹,kʰuan⁴⁴ pɔŋ³¹,kʰ ua n ⁴⁴ + p ɔ ŋ ³¹,,Makyam,,,,,PFX4 nine,99 9,kʰ ua n ⁴⁴ + p ɔ ŋ ³¹,kʰ ua n ⁴⁴ + p ɔ ŋ ³¹,kʰ ua n ⁴⁴ + p ɔ ŋ ³¹
Makyam_Khalai-Chan-2019-133-10-10-1,,Makyam_Khalai,Chan-2019-133-10-10,sap⁵²,sap⁵²,s a p ⁵²,,Makyam,,,,,ten,10,s a p ⁵²,s a p ⁴⁴,s a p ⁵²/⁴⁴
Makyam_Khalai-Chan-2019-133-11-11-1,,Makyam_Khalai,Chan-2019-133-11-11,sap⁴⁴ kə⁴⁴ kʰuat⁵²,sap⁴⁴ kə⁴⁴ kʰuat⁵²,s a p ⁴⁴ + k ə ⁴⁴ + kʰ ua t ⁵²,,Makyam,,,,,ten and one,10 54 1,s a p ⁴⁴ + k ə ⁴⁴ + kʰ ua t ⁵²,s a p ⁴⁴ + k ə ⁴⁴ + kʰ ua t ⁴⁴,s a p ⁴⁴ + k ə ⁴⁴ + kʰ ua t ⁵²/⁴⁴
Makyam_Khalai-Chan-2019-133-12-12-1,,Makyam_Khalai,Chan-2019-133-12-12,sap⁴⁴ kə⁴⁴ nat⁵²,sap⁴⁴ kə⁴⁴ nat⁵²,s a p ⁴⁴ + k ə ⁴⁴ + n a t ⁵²,,Makyam,,,,,ten and two,10 54 2,s a p ⁴⁴ + k ə ⁴⁴ + n a t ⁵²,s a p ⁴⁴ + k ə ⁴⁴ + n a t ⁴⁴,s a p ⁴⁴ + k ə ⁴⁴ + n a t ⁵²/⁴⁴
Makyam_Khalai-Chan-2019-133-13-13-1,,Makyam_Khalai,Chan-2019-133-13-13,sap⁴⁴ kə⁴⁴ θam³³,sap⁴⁴ kə⁴⁴ θam³³,s a p ⁴⁴ + k ə ⁴⁴ + θ a m ³³,,Makyam,,,,,ten and three,10 54 3,s a p ⁴⁴ + k ə ⁴⁴ + θ a m ³³,s a p ⁴⁴ + k ə ⁴⁴ + θ a m ³³,s a p ⁴⁴ + k ə ⁴⁴ + θ a m ³³
Makyam_Khalai-Chan-2019-133-14-14-1,,Makyam_Khalai,Chan-2019-133-14-14,sap⁴⁴ kə⁴⁴ pʰəli³³,sap⁴⁴ kə⁴⁴ pʰəli³³,s a p ⁴⁴ + k ə ⁴⁴ + pʰ ə + l i ³³,,Makyam,,,,,ten and PFX1 four,10 54 50 4,s a p ⁴⁴ + k ə ⁴⁴ + pʰ ə + l i ³³,s a p ⁴⁴ + k ə ⁴⁴ + pʰ ə ³¹ + l i ³³,s a p ⁴⁴ + k ə ⁴⁴ + pʰ ə -/³¹ + l i ³³
Makyam_Khalai-Chan-2019-133-15-15-1,,Makyam_Khalai,Chan-2019-133-15-15,sap⁴⁴ kə⁴⁴ pʰə³¹ ŋa³³,sap⁴⁴ kə⁴⁴ pʰə³¹ ŋa³³,s a p ⁴⁴ + k ə ⁴⁴ + pʰ ə ³¹ + ŋ a ³³,,Makyam,,,,,ten and PFX1 five,10 54 50 5,s a p ⁴⁴ + k ə ⁴⁴ + pʰ ə ³¹ + ŋ a ³³,s a p ⁴⁴ + k ə ⁴⁴ + pʰ ə ³¹ + ŋ a ³³,s a p ⁴⁴ + k ə ⁴⁴ + pʰ ə ³¹ + ŋ a ³³
Makyam_Khalai-Chan-2019-133-16-16-1,,Makyam_Khalai,Chan-2019-133-16-16,sap⁴⁴ kə⁴⁴ kʰə³¹ zɔk³¹,sap⁴⁴ kə⁴⁴ kʰə³¹ zɔk³¹,s a p ⁴⁴ + k ə ⁴⁴ + kʰ ə ³¹ + z ɔ k ³¹,,Makyam,,,,,ten and PFX2 six,10 54 51 6,s a p ⁴⁴ + k ə ⁴⁴ + kʰ ə ³¹ + z ɔ k ³¹,s a p ⁴⁴ + k ə ⁴⁴ + kʰ ə ³¹ + z ɔ k ³¹,s a p ⁴⁴ + k ə ⁴⁴ + kʰ ə ³¹ + z ɔ k ³¹
Makyam_Khalai-Chan-2019-133-17-17-1,,Makyam_Khalai,Chan-2019-133-17-17,sap⁴⁴ kə⁴⁴ kʰə³¹ ɲɛk³¹,sap⁴⁴ kə⁴⁴ kʰə³¹ ɲɛk³¹,s a p ⁴⁴ + k ə ⁴⁴ + kʰ ə ³¹ + ɲ ɛ k ³¹,,Makyam,,,,,ten and PFX2 seven,10 54 51 7,s a p ⁴⁴ + k ə ⁴⁴ + kʰ ə ³¹ + ɲ ɛ k ³¹,s a p ⁴⁴ + k ə ⁴⁴ + kʰ ə ³¹ + ɲ ɛ k ³³,s a p ⁴⁴ + k ə ⁴⁴ + kʰ ə ³¹ + ɲ ɛ k ³¹/³³
Makyam_Khalai-Chan-2019-133-18-18-1,,Makyam_Khalai,Chan-2019-133-18-18,sap⁴⁴ kə⁴⁴ tʰə³¹ wat³¹,sap⁴⁴ kə⁴⁴ tʰə³¹ wat³¹,s a p ⁴⁴ + k ə ⁴⁴ + tʰ ə ³¹ + w a t ³¹,,Makyam,,,,,ten and PFX3 eight,10 54 52 8,s a p ⁴⁴ + k ə ⁴⁴ + tʰ ə ³¹ + w a t ³¹,s a p ⁴⁴ + k ə ⁴⁴ + tʰ ə ³¹ + w a t ³³,s a p ⁴⁴ + k ə ⁴⁴ + tʰ ə ³¹ + w a t ³¹/³³
Makyam_Khalai-Chan-2019-133-19-19-1,,Makyam_Khalai,Chan-2019-133-19-19,kʰy³³ man⁴⁴ kʰuan⁴⁴ pɔŋ³¹,kʰy³³ man⁴⁴ kʰuan⁴⁴ pɔŋ³¹,kʰ y ³³ + m a n ⁴⁴ + kʰ ua n ⁴⁴ + p ɔ ŋ ³¹,twenty minus,Makyam,,,,,twenty minus PFX4 nine,20 53 99 9,kʰ y ³³ + m a n ⁴⁴ + kʰ ua n ⁴⁴ + p ɔ ŋ ³¹,kʰ y ³³ + m a n ⁴⁴ + kʰ ua n ⁴⁴ + p ɔ ŋ ³¹,kʰ y ³³ + m a n ⁴⁴ + kʰ ua n ⁴⁴ + p ɔ ŋ ³¹
Makyam_Khalai-Chan-2019-133-20-20-1,,Makyam_Khalai,Chan-2019-133-20-20,kʰy³³,kʰy³³,kʰ y ³³,,Makyam,,,,,twenty,20,kʰ y ³³,kʰ y ³³,kʰ y ³³
Makyam_Khalai-Chan-2019-133-21-21-1,,Makyam_Khalai,Chan-2019-133-21-21,kʰy³³ kə⁴⁴ kʰuat⁵²,kʰy³³ kə⁴⁴ kʰuat⁵²,kʰ y ³³ + k ə ⁴⁴ + kʰ ua t ⁵²,,Makyam,,,,,twenty and one,20 54 1,kʰ y ³³ + k ə ⁴⁴ + kʰ ua t ⁵²,kʰ y ³³ + k ə ⁴⁴ + kʰ ua t ⁴⁴,kʰ y ³³ + k ə ⁴⁴ + kʰ ua t ⁵²/⁴⁴
Makyam_Khalai-Chan-2019-133-22-22-1,,Makyam_Khalai,Chan-2019-133-22-22,kʰy³³ kə⁴⁴ nat⁵²,kʰy³³ kə⁴⁴ nat⁵²,kʰ y ³³ + k ə ⁴⁴ + n a t ⁵²,,Makyam,,,,,twenty and two,20 54 2,kʰ y ³³ + k ə ⁴⁴ + n a t ⁵²,kʰ y ³³ + k ə ⁴⁴ + n a t ⁴⁴,kʰ y ³³ + k ə ⁴⁴ + n a t ⁵²/⁴⁴
Makyam_Khalai-Chan-2019-133-23-23-1,,Makyam_Khalai,Chan-2019-133-23-23,kʰy³³ kə⁴⁴ θam³³,kʰy³³ kə⁴⁴ θam³³,kʰ y ³³ + k ə ⁴⁴ + θ a m ³³,,Makyam,,,,,twenty and three,20 54 3,kʰ y ³³ + k ə ⁴⁴ + θ a m ³³,kʰ y ³³ + k ə ⁴⁴ + θ a m ³³,kʰ y ³³ + k ə ⁴⁴ + θ a m ³³
Makyam_Khalai-Chan-2019-133-24-24-1,,Makyam_Khalai,Chan-2019-133-24-24,kʰy³³ kə⁴⁴ pʰali³³,kʰy³³ kə⁴⁴ pʰali³³,kʰ y ³³ + k ə ⁴⁴ + pʰ a + l i ³³,,Makyam,,,,,twenty and PFX1 four,20 54 50 4,kʰ y ³³ + k ə ⁴⁴ + pʰ a + l i ³³,kʰ y ³³ + k ə ⁴⁴ + pʰ ə ³¹ + l i ³³,kʰ y ³³ + k ə ⁴⁴ + pʰ a/ə -/³¹ + l i ³³
Makyam_Khalai-Chan-2019-133-25-25-1,,Makyam_Khalai,Chan-2019-133-25-25,kʰy³³ kə⁴⁴ pʰəŋa³³,kʰy³³ kə⁴⁴ pʰəŋa³³,kʰ y ³³ + k ə ⁴⁴ + pʰ ə + ŋ a ³³,,Makyam,,,,,twenty and PFX1 five,20 54 50 5,kʰ y ³³ + k ə ⁴⁴ + pʰ ə + ŋ a ³³,kʰ y ³³ + k ə ⁴⁴ + pʰ ə ³¹ + ŋ a ³³,kʰ y ³³ + k ə ⁴⁴ + pʰ ə -/³¹ + ŋ a ³³
Makyam_Khalai-Chan-2019-133-26-26-1,,Makyam_Khalai,Chan-2019-133-26-26,kʰy³³ kə⁴⁴ kʰə³¹ ʒok³¹,kʰy³³ kə⁴⁴ kʰə³¹ ʒok³¹,kʰ y ³³ + k ə ⁴⁴ + kʰ ə ³¹ + ʒ o k ³¹,,Makyam,,,,,twenty and PFX2 six,20 54 51 6,kʰ y ³³ + k ə ⁴⁴ + kʰ ə ³¹ + ʒ o k ³¹,kʰ y ³³ + k ə ⁴⁴ + kʰ ə ³¹ + z ɔ k ³¹,kʰ y ³³ + k ə ⁴⁴ + kʰ ə ³¹ + ʒ/z o/ɔ k ³¹
Makyam_Khalai-Chan-2019-133-27-27-1,,Makyam_Khalai,Chan-2019-133-27-27,kʰy³³ kə⁴⁴ kʰə³¹ ɲɛk³¹,kʰy³³ kə⁴⁴ kʰə³¹ ɲɛk³¹,kʰ y ³³ + k ə ⁴⁴ + kʰ ə ³¹ + ɲ ɛ k ³¹,,Makyam,,,,,twenty and PFX2 seven,20 54 51 7,kʰ y ³³ + k ə ⁴⁴ + kʰ ə ³¹ + ɲ ɛ k ³¹,kʰ y ³³ + k ə ⁴⁴ + kʰ ə ³¹ + ɲ ɛ k ³³,kʰ y ³³ + k ə ⁴⁴ + kʰ ə ³¹ + ɲ ɛ k ³¹/³³
Makyam_Khalai-Chan-2019-133-28-28-1,,Makyam_Khalai,Chan-2019-133-28-28,kʰy³³ kə⁴⁴ tʰə³¹ wat³¹,kʰy³³ kə⁴⁴ tʰə³¹ wat³¹,kʰ y ³³ + k ə ⁴⁴ + tʰ ə ³¹ + w a t ³¹,,Makyam,,,,,twenty and PFX3 eight,20 54 52 8,kʰ y ³³ + k ə ⁴⁴ + tʰ ə ³¹ + w a t ³¹,kʰ y ³³ + k ə ⁴⁴ + tʰ ə ³¹ + w a t ³³,kʰ y ³³ + k ə ⁴⁴ + tʰ ə ³¹ + w a t ³¹/³³
Makyam_Khalai-Chan-2019-133-29-29-1,,Makyam_Khalai,Chan-2019-133-29-29,ly³³ θam³³ man⁴⁴ kʰuan⁴⁴,ly³³ θam³³ man⁴⁴ kʰuan⁴⁴,l y ³³ + θ a m ³³ + m a n ⁴⁴ + kʰ ua n ⁴⁴,thirty minus,Makyam,,,,,tens three minus one,55 3 53 1,l y ³³ + θ a m ³³ + m a n ⁴⁴ + kʰ ua n ⁴⁴,l y ³³ + θ a m ³³ + m a n ⁴⁴ + kʰ ua t ⁴⁴,l y ³³ + θ a m ³³ + m a n ⁴⁴ + kʰ ua n/t ⁴⁴
Makyam_Khalai-Chan-2019-133-30-30-1,,Makyam_Khalai,Chan-2019-133-30-30,ly³³ θam³³,ly³³ θam³³,l y ³³ + θ a m ³³,,Makyam,,,,,tens three,55 3,l y ³³ + θ a m ³³,l y ³³ + θ a m ³³,l y ³³ + θ a m ³³
Makyam_Khalai-Chan-2019-133-31-31-1,,Makyam_Khalai,Chan-2019-133-31-31,ly³³ θam³³ kə⁴⁴ kʰuat⁵²,ly³³ θam³³ kə⁴⁴ kʰuat⁵²,l y ³³ + θ a m ³³ + k ə ⁴⁴ + kʰ ua t ⁵²,,Makyam,,,,,tens three and one,55 3 54 1,l y ³³ + θ a m ³³ + k ə ⁴⁴ + kʰ ua t ⁵²,l y ³³ + θ a m ³³ + k ə ⁴⁴ + kʰ ua t ⁴⁴,l y ³³ + θ a m ³³ + k ə ⁴⁴ + kʰ ua t ⁵²/⁴⁴
Makyam_Khalai-Chan-2019-133-32-32-1,,Makyam_Khalai,Chan-2019-133-32-32,ly³³ θam³³ kə⁴⁴ nat⁵²,ly³³ θam³³ kə⁴⁴ nat⁵²,l y ³³ + θ a m ³³ + k ə ⁴⁴ + n a t ⁵²,,Makyam,,,,,tens three and two,55 3 54 2,l y ³³ + θ a m ³³ + k ə ⁴⁴ + n a t ⁵²,l y ³³ + θ a m ³³ + k ə ⁴⁴ + n a t ⁴⁴,l y ³³ + θ a m ³³ + k ə ⁴⁴ + n a t ⁵²/⁴⁴
