ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Morphemes,Cognates,Surface_Form,Underlying_Form,Tokens
French-Chan-2019-133-13-13-1,,French,Chan-2019-133-13-13,tʁɛz,tʁɛz,t ʁ ɛ z,,French,,,,,thirteen,13,t ʁ ɛ z,t ʁ ɛ z,t ʁ ɛ z
French-Chan-2019-133-14-14-1,,French,Chan-2019-133-14-14,katɔʁz,katɔʁz,k a t ɔ ʁ z,,French,,,,,fourteen,14,k a t ɔ ʁ z,k a t ɔ ʁ z,k a t ɔ ʁ z
French-Chan-2019-133-15-15-1,,French,Chan-2019-133-15-15,kɛ̃z,kɛ̃z,k ɛ̃ z,,French,,,,,fifteen,15,k ɛ̃ z,k ɛ̃ z,k ɛ̃ z
French-Chan-2019-133-16-16-1,,French,Chan-2019-133-16-16,sɛz,sɛz,s ɛ z,,French,,,,,sixteen,16,s ɛ z,s ɛ z,s ɛ z
French-Chan-2019-133-17-17-1,,French,Chan-2019-133-17-17,disɛt,disɛt,d i + s ɛ t,,French,,,,,ten seven,10 7,d i + s ɛ t,d i s + s ɛ t,d i -/s + s ɛ t
French-Chan-2019-133-18-18-1,,French,Chan-2019-133-18-18,dizɥit,dizɥit,d i z + ɥ i t,,French,,,,,ten eight,10 8,d i z + ɥ i t,d i s + ɥ i t,d i z/s + ɥ i t
French-Chan-2019-133-19-19-1,,French,Chan-2019-133-19-19,diznœf,diznœf,d i z + n œ f,,French,,,,,ten nine,10 9,d i z + n œ f,d i s + n œ f,d i z/s + n œ f
French-Chan-2019-133-20-20-1,,French,Chan-2019-133-20-20,vɛ̃,vɛ̃,v ɛ̃,,French,,,,,twenty,20,v ɛ̃,v ɛ̃,v ɛ̃
French-Chan-2019-133-21-21-1,,French,Chan-2019-133-21-21,vɛ̃teœ̃,vɛ̃teœ̃,v ɛ̃ t + e + œ̃,,French,,,,,twenty and one,20 18 1,v ɛ̃ t + e + œ̃,v ɛ̃ + e + œ̃,v ɛ̃ t/- + e + œ̃
French-Chan-2019-133-22-22-1,,French,Chan-2019-133-22-22,vɛ̃dø,vɛ̃dø,v ɛ̃ t + d ø,,French,,,,,twenty two,20 2,v ɛ̃ t + d ø,v ɛ̃ + d ø,v ɛ̃ t/- + d ø
French-Chan-2019-133-23-23-1,,French,Chan-2019-133-23-23,vɛ̃tʁwɑ,vɛ̃tʁwɑ,v ɛ̃ t + t ʁ w ɑ,,French,,,,,twenty three,20 3,v ɛ̃ t + t ʁ w ɑ,v ɛ̃ + t ʁ w ɑ,v ɛ̃ t/- + t ʁ w ɑ
French-Chan-2019-133-24-24-1,,French,Chan-2019-133-24-24,vɛ̃tkatʁ,vɛ̃tkatʁ,v ɛ̃ t + k a t ʁ,,French,,,,,twenty four,20 4,v ɛ̃ t + k a t ʁ,v ɛ̃ + k a t ʁ,v ɛ̃ t/- + k a t ʁ
French-Chan-2019-133-25-25-1,,French,Chan-2019-133-25-25,vɛ̃tsɛ̃k,vɛ̃tsɛ̃k,v ɛ̃ t + s ɛ̃ k,,French,,,,,twenty five,20 5,v ɛ̃ t + s ɛ̃ k,v ɛ̃ + s ɛ̃ k,v ɛ̃ t/- + s ɛ̃ k
French-Chan-2019-133-26-26-1,,French,Chan-2019-133-26-26,vɛ̃tsis,vɛ̃tsis,v ɛ̃ t + s i s,,French,,,,,twenty six,20 6,v ɛ̃ t + s i s,v ɛ̃ + s i s,v ɛ̃ t/- + s i s
French-Chan-2019-133-27-27-1,,French,Chan-2019-133-27-27,vɛ̃tsɛt,vɛ̃tsɛt,v ɛ̃ t + s ɛ t,,French,,,,,twenty seven,20 7,v ɛ̃ t + s ɛ t,v ɛ̃ + s ɛ t,v ɛ̃ t/- + s ɛ t
French-Chan-2019-133-28-28-1,,French,Chan-2019-133-28-28,vɛ̃tɥit,vɛ̃tɥit,v ɛ̃ t + ɥ i t,,French,,,,,twenty eight,20 8,v ɛ̃ t + ɥ i t,v ɛ̃ + ɥ i t,v ɛ̃ t/- + ɥ i t
French-Chan-2019-133-29-29-1,,French,Chan-2019-133-29-29,vɛ̃nœf,vɛ̃nœf,v ɛ̃ t + n œ f,,French,,,,,twenty nine,20 9,v ɛ̃ t + n œ f,v ɛ̃ + n œ f,v ɛ̃ t/- + n œ f
French-Chan-2019-133-30-30-1,,French,Chan-2019-133-30-30,tʁɑ̃t,tʁɑ̃t,t ʁ + ɑ̃ t,,French,,,,,three tenstep,3 17,t ʁ + ɑ̃ t,t ʁ w ɑ + ɑ̃ t,t ʁ -/w -/ɑ + ɑ̃ t
French-Chan-2019-133-31-31-1,,French,Chan-2019-133-31-31,tʁɑ̃teœ̃,tʁɑ̃teœ̃,t ʁ + ɑ̃ t + e + œ̃,,French,,,,,three tenstep and one,3 17 18 1,t ʁ + ɑ̃ t + e + œ̃,t ʁ w ɑ + ɑ̃ t + e + œ̃,t ʁ -/w -/ɑ + ɑ̃ t + e + œ̃
French-Chan-2019-133-32-32-1,,French,Chan-2019-133-32-32,tʁɑ̃tdø,tʁɑ̃tdø,t ʁ + ɑ̃ t + d ø,,French,,,,,three tenstep two,3 17 2,t ʁ + ɑ̃ t + d ø,t ʁ w ɑ + ɑ̃ t + d ø,t ʁ -/w -/ɑ + ɑ̃ t + d ø
